marker,timestamp
main_block_0_start,333284.9385998
"sequence_D,H,R,P,H,Z,Q,K,E,H,H,K,M,U,H,H,Q,N,T,H,H,F,H,H,C,H,B,W,Z,H,L,H,O,E,J,L,H,R,F,B,H,Y,J,L,P,H,P,X",333284.9386636
"targets_1,4,9,10,14,15,19,20,22,23,25,29,31,36,40,45",333284.9386878
main_block_0_trial_0_on,333284.9467837
resp_False,333287.9579724
corr_True,333287.9580143
trial_0_end,333287.95802
main_block_0_trial_1_on,333287.9580371
resp_True,333290.4132057
corr_True,333290.413245
rt_0.446,333290.413252
trial_1_end,333290.4132557
main_block_0_trial_2_on,333290.4132791
resp_False,333293.4205828
corr_True,333293.4206208
trial_2_end,333293.4206256
main_block_0_trial_3_on,333293.4206429
resp_False,333296.4303045
corr_True,333296.4303374
trial_3_end,333296.4303425
main_block_0_trial_4_on,333296.4303572
resp_True,333298.8391222
corr_True,333298.8391529
rt_0.401,333298.8391607
trial_4_end,333298.8391645
main_block_0_trial_5_on,333298.8391911
resp_False,333301.8474607
corr_True,333301.8474979
trial_5_end,333301.847504
main_block_0_trial_6_on,333301.8475214
resp_False,333304.8577536
corr_True,333304.8577837
trial_6_end,333304.8577888
main_block_0_trial_7_on,333304.8578056
resp_False,333307.8666905
corr_True,333307.866729
trial_7_end,333307.8667347
main_block_0_trial_8_on,333307.8667507
resp_False,333310.8751151
corr_True,333310.8751461
trial_8_end,333310.8751511
main_block_0_trial_9_on,333310.8751669
resp_True,333313.3182907
corr_True,333313.3183206
rt_0.437,333313.3183274
trial_9_end,333313.3183309
main_block_0_trial_10_on,333313.3183566
resp_True,333316.0581826
corr_True,333316.058209
rt_0.735,333316.0582151
trial_10_end,333316.0582186
main_block_0_trial_11_on,333316.0582427
resp_False,333319.0646657
corr_True,333319.0646993
trial_11_end,333319.0647047
main_block_0_trial_12_on,333319.0647213
resp_False,333322.0747079
corr_True,333322.0747438
trial_12_end,333322.0747488
main_block_0_trial_13_on,333322.0747659
resp_False,333325.0852603
corr_True,333325.0852928
trial_13_end,333325.0852978
main_block_0_trial_14_on,333325.0853126
resp_True,333327.4620563
corr_True,333327.4620865
rt_0.371,333327.4620932
trial_14_end,333327.4620967
main_block_0_trial_15_on,333327.4621218
resp_True,333329.9309904
corr_True,333329.9310218
rt_0.463,333329.931029
trial_15_end,333329.9310327
main_block_0_trial_16_on,333329.9310586
resp_False,333332.9371388
corr_True,333332.9371787
trial_16_end,333332.9371886
main_block_0_trial_17_on,333332.9372165
resp_False,333335.947947
corr_True,333335.947984
trial_17_end,333335.947989
main_block_0_trial_18_on,333335.9480065
resp_False,333338.9594799
corr_True,333338.9595133
trial_18_end,333338.95952
main_block_0_trial_19_on,333338.9595369
resp_True,333341.3395644
corr_True,333341.339596
rt_0.374,333341.3396036
trial_19_end,333341.3396086
main_block_0_trial_20_on,333341.3396359
resp_True,333343.8196758
corr_True,333343.8197021
rt_0.476,333343.8197086
trial_20_end,333343.8197122
main_block_0_trial_21_on,333343.8197361
resp_False,333346.8266613
corr_True,333346.8266944
trial_21_end,333346.8266995
main_block_0_trial_22_on,333346.8267148
resp_True,333349.2108151
corr_True,333349.2108436
rt_0.377,333349.2108513
trial_22_end,333349.2108548
main_block_0_trial_23_on,333349.2108804
resp_True,333351.5826186
corr_True,333351.582651
rt_0.368,333351.5826602
trial_23_end,333351.582664
main_block_0_trial_24_on,333351.5826882
resp_False,333354.5930374
corr_True,333354.5930713
trial_24_end,333354.5930769
main_block_0_trial_25_on,333354.593093
resp_True,333356.9540079
corr_True,333356.954035
rt_0.354,333356.9540417
trial_25_end,333356.9540467
main_block_0_trial_26_on,333356.9540873
resp_False,333359.9640796
corr_True,333359.9641145
trial_26_end,333359.9641196
main_block_0_trial_27_on,333359.9641353
resp_False,333362.9741317
corr_True,333362.9741641
trial_27_end,333362.9741691
main_block_0_trial_28_on,333362.9741854
resp_False,333365.9808633
corr_True,333365.980899
trial_28_end,333365.9809045
main_block_0_trial_29_on,333365.9809192
resp_True,333368.3630765
corr_True,333368.3631136
rt_0.375,333368.3631205
trial_29_end,333368.3631242
main_block_0_trial_30_on,333368.3631502
resp_False,333371.3719702
corr_True,333371.372006
trial_30_end,333371.3720114
main_block_0_trial_31_on,333371.3720301
resp_True,333373.7464037
corr_True,333373.7464338
rt_0.367,333373.7464401
trial_31_end,333373.7464444
main_block_0_trial_32_on,333373.7464693
resp_False,333376.7588115
corr_True,333376.7588437
trial_32_end,333376.7588494
main_block_0_trial_33_on,333376.7588656
resp_False,333379.7649835
corr_True,333379.7650174
trial_33_end,333379.7650225
main_block_0_trial_34_on,333379.7650373
resp_False,333382.7740868
corr_True,333382.7741191
trial_34_end,333382.7741242
main_block_0_trial_35_on,333382.7741402
resp_False,333385.7816022
corr_True,333385.7816385
trial_35_end,333385.7816441
main_block_0_trial_36_on,333385.7816617
resp_True,333388.1706947
corr_True,333388.1707269
rt_0.383,333388.1707358
trial_36_end,333388.1707409
main_block_0_trial_37_on,333388.1707685
resp_False,333391.1777358
corr_True,333391.177768
trial_37_end,333391.1777729
main_block_0_trial_38_on,333391.1777876
resp_False,333394.1853723
corr_True,333394.1854064
trial_38_end,333394.1854115
main_block_0_trial_39_on,333394.1854279
resp_False,333397.1924341
corr_True,333397.1924662
trial_39_end,333397.1924717
main_block_0_trial_40_on,333397.192488
resp_True,333399.7369067
corr_True,333399.7369376
rt_0.538,333399.7369444
trial_40_end,333399.7369487
main_block_0_trial_41_on,333399.7369768
resp_False,333402.7484192
corr_True,333402.7484575
trial_41_end,333402.7484629
main_block_0_trial_42_on,333402.7484794
resp_False,333405.7561425
corr_True,333405.7561768
trial_42_end,333405.7561819
main_block_0_trial_43_on,333405.7561977
resp_False,333408.761216
corr_True,333408.7612523
trial_43_end,333408.7612582
main_block_0_trial_44_on,333408.7612918
resp_False,333411.7669058
corr_True,333411.7669422
trial_44_end,333411.7669509
main_block_0_trial_45_on,333411.7669675
resp_True,333414.3558555
corr_True,333414.3558874
rt_0.581,333414.3558942
trial_45_end,333414.3559001
main_block_0_trial_46_on,333414.3559259
resp_False,333417.3623387
corr_True,333417.3623712
trial_46_end,333417.3623763
main_block_0_trial_47_on,333417.3623922
resp_False,333420.3744803
corr_True,333420.374514
trial_47_end,333420.3745189
main_block_0_end,333420.3745238
main_block_0_accuracy_1.00,333420.3745324
main_block_1_start,333436.2227783
"sequence_U,U,B,L,T,I,J,E,I,N,T,V,N,T,I,N,U,Z,E,O,S,E,Z,H,P,W,H,J,S,H,W,S,Z,E,S,Z,X,S,Z,O,S,Q,F,S,C,L,P,C",333436.2228094
"targets_8,12,13,15,21,26,29,31,34,35,37,38,40,43,47",333436.2228212
main_block_1_trial_0_on,333436.2288874
resp_False,333439.2361716
corr_True,333439.2362027
trial_0_end,333439.2362077
main_block_1_trial_1_on,333439.2362239
resp_False,333442.2400302
corr_True,333442.2400628
trial_1_end,333442.2400679
main_block_1_trial_2_on,333442.2400841
resp_False,333445.2474822
corr_True,333445.247515
trial_2_end,333445.24752
main_block_1_trial_3_on,333445.2475369
resp_False,333448.2532066
corr_True,333448.2532414
trial_3_end,333448.253246
main_block_1_trial_4_on,333448.2532643
resp_False,333451.258673
corr_True,333451.2587047
trial_4_end,333451.2587095
main_block_1_trial_5_on,333451.258724
resp_False,333454.2689461
corr_True,333454.2689827
trial_5_end,333454.268988
main_block_1_trial_6_on,333454.2690072
resp_False,333457.2754323
corr_True,333457.275464
trial_6_end,333457.2754693
main_block_1_trial_7_on,333457.2754856
resp_False,333460.2812262
corr_True,333460.2812602
trial_7_end,333460.2812656
main_block_1_trial_8_on,333460.2812814
resp_False,333463.2872518
corr_False,333463.2872857
trial_8_end,333463.2872913
main_block_1_trial_9_on,333463.2873102
resp_True,333465.2935375
corr_False,333465.2935662
rt_0.000,333465.2935759
trial_9_end,333465.2935813
main_block_1_trial_10_on,333465.2936026
resp_False,333468.3090851
corr_True,333468.3091207
trial_10_end,333468.3091258
main_block_1_trial_11_on,333468.3091416
resp_False,333471.3199142
corr_True,333471.319956
trial_11_end,333471.3199628
main_block_1_trial_12_on,333471.3199795
resp_False,333474.3262862
corr_False,333474.3263238
trial_12_end,333474.3263296
main_block_1_trial_13_on,333474.3263467
resp_True,333476.7406244
corr_True,333476.7406642
rt_0.408,333476.7406712
trial_13_end,333476.7406751
main_block_1_trial_14_on,333476.7407015
resp_False,333479.7470086
corr_True,333479.7470418
trial_14_end,333479.7470472
main_block_1_trial_15_on,333479.7470618
resp_False,333482.7532884
corr_False,333482.7533233
trial_15_end,333482.7533283
main_block_1_trial_16_on,333482.7533454
resp_True,333484.7606163
corr_False,333484.7606584
rt_0.000,333484.7606663
trial_16_end,333484.7606714
main_block_1_trial_17_on,333484.7606906
resp_False,333487.7825455
corr_True,333487.7825806
trial_17_end,333487.782586
main_block_1_trial_18_on,333487.7826012
resp_False,333490.788412
corr_True,333490.7884417
trial_18_end,333490.7884463
main_block_1_trial_19_on,333490.7884616
resp_False,333493.7943751
corr_True,333493.7944148
trial_19_end,333493.7944223
main_block_1_trial_20_on,333493.794458
resp_False,333496.805998
corr_True,333496.8060351
trial_20_end,333496.8060402
main_block_1_trial_21_on,333496.8060557
resp_True,333499.2133167
corr_True,333499.2133455
rt_0.399,333499.213352
trial_21_end,333499.2133553
main_block_1_trial_22_on,333499.2133814
resp_False,333502.2200521
corr_True,333502.2200893
trial_22_end,333502.2200963
main_block_1_trial_23_on,333502.2201168
resp_False,333505.2258283
corr_True,333505.2258637
trial_23_end,333505.2258688
main_block_1_trial_24_on,333505.2258846
resp_False,333508.2317189
corr_True,333508.2317515
trial_24_end,333508.2317566
main_block_1_trial_25_on,333508.2317718
resp_False,333511.2382592
corr_True,333511.2382902
trial_25_end,333511.2382954
main_block_1_trial_26_on,333511.2383105
resp_False,333514.2457251
corr_False,333514.2457582
trial_26_end,333514.2457632
main_block_1_trial_27_on,333514.2457784
resp_False,333517.2533231
corr_True,333517.2533554
trial_27_end,333517.2533604
main_block_1_trial_28_on,333517.2533766
resp_False,333520.2607688
corr_True,333520.2608021
trial_28_end,333520.2608071
main_block_1_trial_29_on,333520.2608224
resp_True,333522.7782926
corr_True,333522.7783246
rt_0.511,333522.778332
trial_29_end,333522.7783355
main_block_1_trial_30_on,333522.7783621
resp_False,333525.7849362
corr_True,333525.7849726
trial_30_end,333525.7849778
main_block_1_trial_31_on,333525.784995
resp_False,333528.7932665
corr_False,333528.7933024
trial_31_end,333528.7933073
main_block_1_trial_32_on,333528.7933234
resp_False,333531.8014624
corr_True,333531.8015008
trial_32_end,333531.8015069
main_block_1_trial_33_on,333531.8015241
resp_False,333534.8073146
corr_True,333534.807352
trial_33_end,333534.8073572
main_block_1_trial_34_on,333534.8073736
resp_False,333537.8138626
corr_False,333537.8138979
trial_34_end,333537.8139029
main_block_1_trial_35_on,333537.8139183
resp_True,333539.8203684
corr_True,333539.8203981
rt_0.000,333539.820407
trial_35_end,333539.8204127
main_block_1_trial_36_on,333539.8204358
resp_False,333542.835575
corr_True,333542.8356067
trial_36_end,333542.8356122
main_block_1_trial_37_on,333542.8356265
resp_False,333545.8425306
corr_False,333545.8425647
trial_37_end,333545.8425701
main_block_1_trial_38_on,333545.8425867
resp_False,333548.8490974
corr_False,333548.8491389
trial_38_end,333548.8491446
main_block_1_trial_39_on,333548.8491628
resp_False,333551.8555129
corr_True,333551.8555458
trial_39_end,333551.8555508
main_block_1_trial_40_on,333551.8555667
