marker,timestamp
main_block_0_start,339991.9181813
"sequence_O,T,C,A,L,P,Z,C,C,U,C,C,C,A,W,H,C,F,T,A,Z,C,C,C,N,N,C,K,R,R,Z,C,F,B,G,D,U,Q,O,N,C,F,M,C,C,P,F,C",339991.9182749
"targets_2,7,8,10,11,12,16,21,22,23,26,31,40,43,44,47",339991.9183104
main_block_0_trial_0_on,339991.9365238
resp_False,339994.9546942
corr_True,339994.954727
trial_0_end,339994.9547319
main_block_0_trial_1_on,339994.9547469
resp_False,339997.9704401
corr_True,339997.970474
trial_1_end,339997.9704797
main_block_0_trial_2_on,339997.9704946
resp_True,340000.3249631
corr_True,340000.3250171
rt_0.339,340000.3250307
trial_2_end,340000.3250392
main_block_0_trial_3_on,340000.3250777
resp_False,340003.3428606
corr_True,340003.3428974
trial_3_end,340003.342902
main_block_0_trial_4_on,340003.3429174
resp_False,340006.3572349
corr_True,340006.3572699
trial_4_end,340006.3572748
main_block_0_trial_5_on,340006.3572914
resp_False,340009.3729348
corr_True,340009.3729696
trial_5_end,340009.3729746
main_block_0_trial_6_on,340009.3729899
resp_False,340012.3879762
corr_True,340012.3880086
trial_6_end,340012.3880133
main_block_0_trial_7_on,340012.3880292
resp_True,340014.7428416
corr_True,340014.7428715
rt_0.345,340014.7428799
trial_7_end,340014.7428993
main_block_0_trial_8_on,340014.7429315
resp_True,340017.2075831
corr_True,340017.2076202
rt_0.458,340017.2076318
trial_8_end,340017.2076393
main_block_0_trial_9_on,340017.2076855
resp_False,340020.2241912
corr_True,340020.224225
trial_9_end,340020.2242298
main_block_0_trial_10_on,340020.2242443
resp_True,340022.6141216
corr_True,340022.6141566
rt_0.379,340022.6141683
trial_10_end,340022.6141759
main_block_0_trial_11_on,340022.6142209
resp_True,340025.0092066
corr_True,340025.0092393
rt_0.389,340025.0092504
trial_11_end,340025.0092582
main_block_0_trial_12_on,340025.0092943
resp_True,340027.3785207
corr_True,340027.378556
rt_0.363,340027.3785689
trial_12_end,340027.3785764
main_block_0_trial_13_on,340027.3786173
resp_False,340030.3881445
corr_True,340030.3881777
trial_13_end,340030.388182
main_block_0_trial_14_on,340030.3881963
resp_False,340033.4044121
corr_True,340033.4044463
trial_14_end,340033.4044529
main_block_0_trial_15_on,340033.4044692
resp_False,340036.4180332
corr_True,340036.4180693
trial_15_end,340036.4180742
main_block_0_trial_16_on,340036.4180918
resp_True,340038.7989859
corr_True,340038.7990179
rt_0.372,340038.7990305
trial_16_end,340038.7990389
main_block_0_trial_17_on,340038.799083
resp_False,340041.8158433
corr_True,340041.8158777
trial_17_end,340041.8158838
main_block_0_trial_18_on,340041.8158989
resp_False,340044.8271562
corr_True,340044.8271863
trial_18_end,340044.8271935
main_block_0_trial_19_on,340044.8272078
resp_False,340047.8356125
corr_True,340047.8357055
trial_19_end,340047.8357142
main_block_0_trial_20_on,340047.8357285
resp_False,340050.8447999
corr_True,340050.8448302
trial_20_end,340050.844835
main_block_0_trial_21_on,340050.8448494
resp_True,340053.2147003
corr_True,340053.2147563
rt_0.359,340053.2147888
trial_21_end,340053.2148091
main_block_0_trial_22_on,340053.2148648
resp_True,340055.619158
corr_True,340055.6191895
rt_0.398,340055.6191982
trial_22_end,340055.6192034
main_block_0_trial_23_on,340055.6192339
resp_True,340057.9423571
corr_True,340057.9423957
rt_0.318,340057.9424115
trial_23_end,340057.9424192
main_block_0_trial_24_on,340057.9424674
resp_False,340060.9603495
corr_True,340060.9603825
trial_24_end,340060.9603905
main_block_0_trial_25_on,340060.9604057
resp_False,340063.9672135
corr_True,340063.9672476
trial_25_end,340063.9672524
main_block_0_trial_26_on,340063.9672671
resp_True,340066.4344332
corr_True,340066.4344704
rt_0.456,340066.4344821
trial_26_end,340066.4344899
main_block_0_trial_27_on,340066.434533
resp_False,340069.4513888
corr_True,340069.4514521
trial_27_end,340069.4514576
main_block_0_trial_28_on,340069.4514733
resp_False,340072.4676604
corr_True,340072.4676956
trial_28_end,340072.4677018
main_block_0_trial_29_on,340072.467756
resp_False,340075.4741816
corr_True,340075.4742466
trial_29_end,340075.4742523
main_block_0_trial_30_on,340075.4742686
resp_False,340078.4841159
corr_True,340078.4841503
trial_30_end,340078.4841559
main_block_0_trial_31_on,340078.4841718
resp_True,340080.8197986
corr_True,340080.8198319
rt_0.326,340080.8198443
trial_31_end,340080.8198643
main_block_0_trial_32_on,340080.8199116
resp_False,340083.8310112
corr_True,340083.8310452
trial_32_end,340083.8310502
main_block_0_trial_33_on,340083.8310646
resp_False,340086.8469606
corr_True,340086.8469949
trial_33_end,340086.8470001
main_block_0_trial_34_on,340086.8470168
resp_False,340089.8620123
corr_True,340089.8620488
trial_34_end,340089.8620537
main_block_0_trial_35_on,340089.8620713
resp_False,340092.8786039
corr_True,340092.8786353
trial_35_end,340092.8786408
main_block_0_trial_36_on,340092.8786575
resp_False,340095.8895566
corr_True,340095.8895908
trial_36_end,340095.8895956
main_block_0_trial_37_on,340095.8896104
resp_False,340098.9074079
corr_True,340098.9074416
trial_37_end,340098.9074463
main_block_0_trial_38_on,340098.9074625
resp_False,340101.9171652
corr_True,340101.9171987
trial_38_end,340101.9172039
main_block_0_trial_39_on,340101.9172184
resp_False,340104.9260345
corr_True,340104.9260654
trial_39_end,340104.926072
main_block_0_trial_40_on,340104.9260869
resp_True,340107.3364421
corr_True,340107.3365155
rt_0.400,340107.3365368
trial_40_end,340107.336549
main_block_0_trial_41_on,340107.3366021
resp_False,340110.346391
corr_True,340110.3464227
trial_41_end,340110.346428
main_block_0_trial_42_on,340110.3464434
resp_False,340113.3617271
corr_True,340113.3617615
trial_42_end,340113.3617667
main_block_0_trial_43_on,340113.3617817
resp_True,340115.7142961
corr_True,340115.7143451
rt_0.342,340115.714363
trial_43_end,340115.714399
main_block_0_trial_44_on,340115.7144471
resp_True,340118.1592871
corr_True,340118.1593232
rt_0.438,340118.159347
trial_44_end,340118.1593547
main_block_0_trial_45_on,340118.159399
resp_False,340121.1700011
corr_True,340121.1700615
trial_45_end,340121.1700672
main_block_0_trial_46_on,340121.1700846
resp_False,340124.1800012
corr_True,340124.1800348
trial_46_end,340124.1800415
main_block_0_trial_47_on,340124.1800624
resp_True,340126.5366205
corr_True,340126.5366556
rt_0.348,340126.536668
trial_47_end,340126.536676
main_block_0_end,340126.5366855
main_block_0_accuracy_1.00,340126.536696
main_block_1_start,340130.6537183
"sequence_O,S,P,M,G,P,Q,M,P,B,E,A,U,E,Y,M,V,S,M,V,J,C,B,V,C,N,V,Z,D,V,Z,E,I,T,E,K,R,Z,E,R,P,L,R,P,A,U,P,A",340130.6537459
"targets_5,8,13,18,19,24,26,29,30,34,39,42,43,46,47",340130.6537563
main_block_1_trial_0_on,340130.6601046
resp_False,340133.6689724
corr_True,340133.6690055
trial_0_end,340133.6690103
main_block_1_trial_1_on,340133.6690251
resp_False,340136.6862395
corr_True,340136.6862713
trial_1_end,340136.6862764
main_block_1_trial_2_on,340136.6862909
resp_False,340139.6948793
corr_True,340139.6949111
trial_2_end,340139.6949159
main_block_1_trial_3_on,340139.6949312
resp_False,340142.7034104
corr_True,340142.7034424
trial_3_end,340142.7034475
main_block_1_trial_4_on,340142.7034627
resp_False,340145.7124467
corr_True,340145.7124821
trial_4_end,340145.7124876
main_block_1_trial_5_on,340145.7125036
resp_False,340148.7208747
corr_False,340148.7209045
trial_5_end,340148.7209095
main_block_1_trial_6_on,340148.7209244
resp_True,340150.7307143
corr_False,340150.7307698
rt_0.000,340150.7307877
trial_6_end,340150.7308002
main_block_1_trial_7_on,340150.7308589
resp_False,340153.7408816
corr_True,340153.7409172
trial_7_end,340153.7409227
main_block_1_trial_8_on,340153.7409378
resp_False,340156.7526744
corr_False,340156.7527067
trial_8_end,340156.7527138
main_block_1_trial_9_on,340156.7527372
resp_False,340159.7632101
corr_True,340159.7632437
trial_9_end,340159.7632486
main_block_1_trial_10_on,340159.763263
resp_False,340162.7781773
corr_True,340162.7782087
trial_10_end,340162.7782135
main_block_1_trial_11_on,340162.7782281
resp_False,340165.7891122
corr_True,340165.7891485
trial_11_end,340165.7891532
main_block_1_trial_12_on,340165.7891686
resp_False,340168.7988778
corr_True,340168.798906
trial_12_end,340168.7989124
