marker,timestamp
main_block_0_start,424440.5394043
"sequence_U,E,B,K,X,F,B,F,I,N,D,Y,Z,L,J,G,M,Z,W,B,Z,E,Z,Z,W,T,T,V,Z,M,Z,Z,Z,V,C,Z,Z,Z,A,A,Z,Z,T,J,W,Z,Z,B",424440.5394965
"targets_12,17,20,22,23,28,30,31,32,35,36,37,40,41,45,46",424440.5395301
main_block_0_trial_0_on,424440.5583062
resp_False,424443.5803892
corr_True,424443.5804371
trial_0_end,424443.5804621
main_block_0_trial_1_on,424443.5804926
resp_False,424446.6001552
corr_True,424446.6002029
trial_1_end,424446.6002136
main_block_0_trial_2_on,424446.6002434
resp_False,424449.6151591
corr_True,424449.6152069
trial_2_end,424449.6152176
main_block_0_trial_3_on,424449.6152491
resp_False,424452.6308353
corr_True,424452.6308885
trial_3_end,424452.6308999
main_block_0_trial_4_on,424452.6309324
resp_False,424455.650356
corr_True,424455.6504025
trial_4_end,424455.6504131
main_block_0_trial_5_on,424455.6504434
resp_False,424458.6681152
corr_True,424458.6681679
trial_5_end,424458.6681803
main_block_0_trial_6_on,424458.668215
resp_False,424461.6796146
corr_True,424461.6796614
trial_6_end,424461.6796729
main_block_0_trial_7_on,424461.6797041
resp_False,424464.6925139
corr_True,424464.6925918
trial_7_end,424464.6926039
main_block_0_trial_8_on,424464.6926371
resp_False,424467.7118849
corr_True,424467.7119334
trial_8_end,424467.7119457
main_block_0_trial_9_on,424467.7119789
resp_False,424470.7304042
corr_True,424470.7304545
trial_9_end,424470.7304669
main_block_0_trial_10_on,424470.7305017
resp_False,424473.7499819
corr_True,424473.7500292
trial_10_end,424473.7500403
main_block_0_trial_11_on,424473.7500731
resp_False,424476.7691033
corr_True,424476.7691558
trial_11_end,424476.7691672
main_block_0_trial_12_on,424476.7692007
resp_True,424479.4371518
corr_True,424479.4371973
rt_0.651,424479.4372139
trial_12_end,424479.4372218
main_block_0_trial_13_on,424479.4372677
resp_False,424482.4545089
corr_True,424482.4545618
trial_13_end,424482.4545751
main_block_0_trial_14_on,424482.4546071
resp_False,424485.4723774
corr_True,424485.4724289
trial_14_end,424485.4724407
main_block_0_trial_15_on,424485.4724737
resp_False,424488.4908248
corr_True,424488.4908776
trial_15_end,424488.4909027
main_block_0_trial_16_on,424488.4909383
resp_False,424491.511739
corr_True,424491.5117926
trial_16_end,424491.5118046
main_block_0_trial_17_on,424491.5118403
resp_True,424494.1030169
corr_True,424494.1030592
rt_0.579,424494.1030709
trial_17_end,424494.1030781
main_block_0_trial_18_on,424494.1031245
resp_False,424497.1216402
corr_True,424497.121692
trial_18_end,424497.1217037
main_block_0_trial_19_on,424497.1217369
resp_False,424500.1345589
corr_True,424500.1346353
trial_19_end,424500.1346466
main_block_0_trial_20_on,424500.1346812
resp_True,424502.8601134
corr_True,424502.8601583
rt_0.711,424502.8601712
trial_20_end,424502.860181
main_block_0_trial_21_on,424502.8602316
resp_False,424505.871201
corr_True,424505.8712508
trial_21_end,424505.8712621
main_block_0_trial_22_on,424505.8712971
resp_True,424508.5498256
corr_True,424508.5498879
rt_0.666,424508.5499021
trial_22_end,424508.5499106
main_block_0_trial_23_on,424508.5499641
resp_True,424511.1876818
corr_True,424511.1877267
rt_0.629,424511.1877386
trial_23_end,424511.1877462
main_block_0_trial_24_on,424511.1877918
resp_False,424514.1991436
corr_True,424514.1992213
trial_24_end,424514.1992349
main_block_0_trial_25_on,424514.1992928
resp_False,424517.2210958
corr_True,424517.2211469
trial_25_end,424517.2211586
main_block_0_trial_26_on,424517.2212059
resp_False,424520.229592
corr_True,424520.229642
trial_26_end,424520.2296533
main_block_0_trial_27_on,424520.2296857
resp_False,424523.245568
corr_True,424523.2456206
trial_27_end,424523.2456316
main_block_0_trial_28_on,424523.2456651
resp_True,424525.9371422
corr_True,424525.9371848
rt_0.677,424525.9372121
trial_28_end,424525.9372202
main_block_0_trial_29_on,424525.9372723
resp_False,424528.9496245
corr_True,424528.9496788
trial_29_end,424528.9496908
main_block_0_trial_30_on,424528.94972
resp_True,424531.5569661
corr_True,424531.557022
rt_0.594,424531.557034
trial_30_end,424531.5570414
main_block_0_trial_31_on,424531.557091
resp_True,424534.1409962
corr_True,424534.1410342
rt_0.576,424534.1410453
trial_31_end,424534.1410523
main_block_0_trial_32_on,424534.1411016
resp_True,424536.781882
corr_True,424536.7819219
rt_0.633,424536.781933
trial_32_end,424536.7819396
main_block_0_trial_33_on,424536.7819806
resp_False,424539.7938705
corr_True,424539.7939198
trial_33_end,424539.7939315
main_block_0_trial_34_on,424539.7939612
resp_False,424542.8123594
corr_True,424542.8124154
trial_34_end,424542.8124273
main_block_0_trial_35_on,424542.8124629
resp_True,424545.288908
corr_True,424545.2889617
rt_0.466,424545.2889776
trial_35_end,424545.2889876
main_block_0_trial_36_on,424545.2890339
resp_True,424547.8084543
corr_True,424547.8084948
rt_0.510,424547.8085063
trial_36_end,424547.8085135
main_block_0_trial_37_on,424547.8085488
resp_True,424550.239741
corr_True,424550.2397843
rt_0.423,424550.2397953
trial_37_end,424550.2398015
main_block_0_trial_38_on,424550.2398371
resp_False,424553.2622569
corr_True,424553.2623094
trial_38_end,424553.2623202
main_block_0_trial_39_on,424553.2623529
resp_False,424556.2706721
corr_True,424556.2707521
trial_39_end,424556.2707708
