marker,timestamp
main_block_0_start,428523.8282135
"sequence_A,A,H,Q,A,N,A,F,A,A,A,A,A,A,H,I,X,Q,G,M,V,A,D,A,E,E,M,A,J,U,T,A,F,L,Y,A,M,L,H,V,A,U,T,E,K,J,D,M",428523.8283692
"targets_0,1,4,6,8,9,10,11,12,13,21,23,27,31,35,40",428523.8283969
main_block_0_trial_0_on,428523.8408647
resp_True,428526.4283204
corr_True,428526.4283757
rt_0.573,428526.4283911
trial_0_end,428526.4283995
main_block_0_trial_1_on,428526.4284456
resp_True,428528.8568355
corr_True,428528.8568821
rt_0.422,428528.8568969
trial_1_end,428528.8569057
main_block_0_trial_2_on,428528.856965
resp_False,428531.8710411
corr_True,428531.8710921
trial_2_end,428531.8711101
main_block_0_trial_3_on,428531.8711441
resp_False,428534.8851765
corr_True,428534.8852251
trial_3_end,428534.8852368
main_block_0_trial_4_on,428534.8852687
resp_True,428537.4119219
corr_True,428537.4119705
rt_0.517,428537.4119851
trial_4_end,428537.4119937
main_block_0_trial_5_on,428537.4120392
resp_False,428540.4248027
corr_True,428540.4248535
trial_5_end,428540.4248654
main_block_0_trial_6_on,428540.424897
resp_True,428543.0372345
corr_True,428543.0372804
rt_0.602,428543.0372952
trial_6_end,428543.0373045
main_block_0_trial_7_on,428543.0373416
resp_False,428546.0533295
corr_True,428546.0535184
trial_7_end,428546.053583
main_block_0_trial_8_on,428546.053677
resp_True,428548.6568551
corr_True,428548.6569041
rt_0.594,428548.6569195
trial_8_end,428548.6569291
main_block_0_trial_9_on,428548.6569678
resp_True,428551.3004209
corr_True,428551.3004786
rt_0.636,428551.3004953
trial_9_end,428551.3005057
main_block_0_trial_10_on,428551.3005458
resp_True,428553.8379723
corr_True,428553.8380191
rt_0.531,428553.8380347
trial_10_end,428553.8380442
main_block_0_trial_11_on,428553.8380901
resp_True,428556.4382477
corr_True,428556.4382946
rt_0.594,428556.4383096
trial_11_end,428556.4383186
main_block_0_trial_12_on,428556.4384453
resp_True,428558.9535438
corr_True,428558.9535873
rt_0.508,428558.9536027
trial_12_end,428558.9536125
main_block_0_trial_13_on,428558.9536673
resp_True,428561.4922575
corr_True,428561.4923068
rt_0.532,428561.4923225
trial_13_end,428561.4923379
main_block_0_trial_14_on,428561.4923807
resp_False,428564.5007423
corr_True,428564.5007989
trial_14_end,428564.5008105
main_block_0_trial_15_on,428564.5008476
resp_False,428567.5120713
corr_True,428567.512122
trial_15_end,428567.5121335
main_block_0_trial_16_on,428567.5121659
resp_False,428570.5266068
corr_True,428570.5266604
trial_16_end,428570.5266714
main_block_0_trial_17_on,428570.5267063
resp_False,428573.5364303
corr_True,428573.5364888
trial_17_end,428573.5365058
main_block_0_trial_18_on,428573.5365387
resp_False,428576.5500205
corr_True,428576.5500748
trial_18_end,428576.5500863
main_block_0_trial_19_on,428576.550123
resp_False,428579.5624962
corr_True,428579.5625466
trial_19_end,428579.562559
main_block_0_trial_20_on,428579.5625899
resp_False,428582.5748013
corr_True,428582.574857
trial_20_end,428582.5748704
main_block_0_trial_21_on,428582.5749029
resp_False,428585.5842726
corr_False,428585.5843241
trial_21_end,428585.5843354
main_block_0_trial_22_on,428585.5843668
resp_True,428587.5969111
corr_False,428587.5969793
rt_0.000,428587.5969958
trial_22_end,428587.5970056
main_block_0_trial_23_on,428587.5970443
resp_True,428590.0865388
corr_True,428590.0865958
rt_0.474,428590.086611
trial_23_end,428590.0866201
main_block_0_trial_24_on,428590.0866635
resp_False,428593.0991839
corr_True,428593.0992346
trial_24_end,428593.0992462
main_block_0_trial_25_on,428593.0992795
resp_False,428596.1052888
corr_True,428596.1053376
trial_25_end,428596.1053489
main_block_0_trial_26_on,428596.1053804
resp_False,428599.1137706
corr_True,428599.1138169
trial_26_end,428599.1138288
main_block_0_trial_27_on,428599.1138618
resp_True,428601.8918048
corr_True,428601.8918508
rt_0.769,428601.8918651
trial_27_end,428601.8918768
main_block_0_trial_28_on,428601.891915
resp_False,428604.9037556
corr_True,428604.9038024
trial_28_end,428604.9038134
main_block_0_trial_29_on,428604.9038577
resp_False,428607.9170089
corr_True,428607.9170611
trial_29_end,428607.9170729
main_block_0_trial_30_on,428607.9171061
resp_False,428610.9321773
corr_True,428610.9322246
trial_30_end,428610.9322358
main_block_0_trial_31_on,428610.9322856
resp_True,428613.5722892
corr_True,428613.5723344
rt_0.631,428613.5723511
trial_31_end,428613.5723648
main_block_0_trial_32_on,428613.5724022
resp_False,428616.5834736
corr_True,428616.5835223
trial_32_end,428616.5835337
main_block_0_trial_33_on,428616.5835803
resp_False,428619.5975634
corr_True,428619.5976139
trial_33_end,428619.5976262
main_block_0_trial_34_on,428619.5976592
resp_False,428622.6167348
corr_True,428622.6167811
trial_34_end,428622.6167926
main_block_0_trial_35_on,428622.6168243
resp_True,428625.239035
corr_True,428625.2392251
rt_0.612,428625.2393016
trial_35_end,428625.2393567
main_block_0_trial_36_on,428625.2394515
resp_False,428628.2483466
corr_True,428628.2483971
trial_36_end,428628.2484087
main_block_0_trial_37_on,428628.2484422
resp_False,428631.257081
corr_True,428631.2571404
trial_37_end,428631.2571511
main_block_0_trial_38_on,428631.257184
resp_False,428634.2660832
corr_True,428634.2661345
trial_38_end,428634.2661461
main_block_0_trial_39_on,428634.2661832
resp_False,428637.2751057
corr_True,428637.2751567
trial_39_end,428637.2751684
main_block_0_trial_40_on,428637.2752085
resp_True,428639.7702359
corr_True,428639.7704444
rt_0.486,428639.7705135
trial_40_end,428639.7705703
main_block_0_trial_41_on,428639.7706612
