marker,timestamp
main_block_0_start,431524.1681152
"sequence_Y,Y,D,C,Y,Y,L,Y,Y,C,R,E,D,D,G,C,Y,R,M,Y,W,C,B,D,X,Y,D,Y,K,V,Y,Z,X,E,T,J,Y,S,A,Y,W,Y,H,W,Y,Y,S,F",431524.1682063
"targets_0,1,4,5,7,8,16,19,25,27,30,36,39,41,44,45",431524.1682599
main_block_0_trial_0_on,431524.2150483
resp_True,431526.7378566
corr_True,431526.7379633
rt_0.492,431526.7380023
trial_0_end,431526.7380254
main_block_0_trial_1_on,431526.7382008
resp_True,431529.1980816
corr_True,431529.1981891
rt_0.448,431529.1982542
trial_1_end,431529.1982758
main_block_0_trial_2_on,431529.1986917
resp_False,431532.2374072
corr_True,431532.2375934
trial_2_end,431532.2376747
main_block_0_trial_3_on,431532.2377981
resp_False,431535.2689462
corr_True,431535.2691946
trial_3_end,431535.2693388
main_block_0_trial_4_on,431535.2695903
resp_True,431537.7925216
corr_True,431537.7926172
rt_0.502,431537.792652
trial_4_end,431537.7926738
main_block_0_trial_5_on,431537.792771
resp_True,431540.249287
corr_True,431540.2495084
rt_0.444,431540.2498793
trial_5_end,431540.2500127
main_block_0_trial_6_on,431540.2503991
resp_False,431543.2742141
corr_True,431543.2744099
trial_6_end,431543.2744943
main_block_0_trial_7_on,431543.2746731
resp_True,431545.7091461
corr_True,431545.709244
rt_0.415,431545.7092808
trial_7_end,431545.7093033
main_block_0_trial_8_on,431545.7094123
resp_True,431548.134133
corr_True,431548.1342185
rt_0.412,431548.1342519
trial_8_end,431548.1342733
main_block_0_trial_9_on,431548.1345764
resp_False,431551.1523299
corr_True,431551.1524469
trial_9_end,431551.1524766
main_block_0_trial_10_on,431551.1525614
resp_False,431554.1830179
corr_True,431554.1832792
trial_10_end,431554.1834531
main_block_0_trial_11_on,431554.183681
resp_False,431557.2195552
corr_True,431557.2197518
trial_11_end,431557.2201579
main_block_0_trial_12_on,431557.2203112
resp_False,431560.2382083
corr_True,431560.2383139
trial_12_end,431560.2383391
main_block_0_trial_13_on,431560.238438
resp_False,431563.2504863
corr_True,431563.2507822
trial_13_end,431563.2509048
main_block_0_trial_14_on,431563.2511271
resp_False,431566.2776277
corr_True,431566.2777325
trial_14_end,431566.2777603
main_block_0_trial_15_on,431566.2779151
resp_False,431569.3005857
corr_True,431569.3006979
trial_15_end,431569.3007266
main_block_0_trial_16_on,431569.3008176
resp_True,431571.7556399
corr_True,431571.7557318
rt_0.437,431571.7557651
trial_16_end,431571.7557852
main_block_0_trial_17_on,431571.7559223
resp_False,431574.7732806
corr_True,431574.7735062
trial_17_end,431574.7736588
main_block_0_trial_18_on,431574.7738859
resp_False,431577.8093077
corr_True,431577.809412
trial_18_end,431577.8094395
main_block_0_trial_19_on,431577.8097012
resp_True,431580.3756549
corr_True,431580.3757587
rt_0.544,431580.3758011
trial_19_end,431580.3758231
main_block_0_trial_20_on,431580.3759238
resp_False,431583.4071579
corr_True,431583.4072655
trial_20_end,431583.4072931
main_block_0_trial_21_on,431583.4078757
resp_False,431586.4265082
corr_True,431586.4266026
trial_21_end,431586.426628
main_block_0_trial_22_on,431586.4267203
resp_False,431589.4557628
corr_True,431589.4558639
trial_22_end,431589.4558899
main_block_0_trial_23_on,431589.4559992
resp_False,431592.4769282
