marker,timestamp
main_block_0_start,9492.4684161
"sequence_G,E,I,G,G,Z,G,E,G,Q,E,O,E,A,E,K,G,J,D,E,X,I,E,N,X,E,W,N,E,E,E,V,P,C,L,E,E,K,X,U,Q,E,E,H,Q,U,F,E",9492.468497
"targets_1,7,10,12,14,19,22,25,28,29,30,35,36,41,42,47",9492.4685474
main_block_0_trial_0_on,9492.4910965
resp_False,9495.5127636
corr_True,9495.5127998
trial_0_end,9495.5128069
main_block_0_trial_1_on,9495.5128258
resp_True,9497.9074965
corr_True,9497.9075342
rt_0.371,9497.9075491
trial_1_end,9497.9075585
main_block_0_trial_2_on,9497.9076039
resp_False,9500.9266555
corr_True,9500.926691
trial_2_end,9500.9266976
main_block_0_trial_3_on,9500.9267166
resp_False,9503.940458
corr_True,9503.9404964
trial_3_end,9503.940503
main_block_0_trial_4_on,9503.9405211
resp_False,9506.9477505
corr_True,9506.9477853
trial_4_end,9506.9477932
main_block_0_trial_5_on,9506.9478119
resp_False,9509.9663819
corr_True,9509.9664219
trial_5_end,9509.9664299
main_block_0_trial_6_on,9509.9664521
resp_False,9512.9821753
corr_True,9512.9822209
trial_6_end,9512.9822289
main_block_0_trial_7_on,9512.9822532
resp_True,9515.4435379
corr_True,9515.4435711
rt_0.447,9515.4435796
trial_7_end,9515.4435849
main_block_0_trial_8_on,9515.4436239
resp_False,9518.4573978
corr_True,9518.4574368
trial_8_end,9518.4574446
main_block_0_trial_9_on,9518.4574641
resp_False,9521.4781619
corr_True,9521.4781994
trial_9_end,9521.4782062
main_block_0_trial_10_on,9521.4782269
resp_True,9523.9182992
corr_True,9523.9183345
rt_0.427,9523.9183521
trial_10_end,9523.9183625
main_block_0_trial_11_on,9523.9184589
resp_False,9526.940537
corr_True,9526.9405704
trial_11_end,9526.9405767
main_block_0_trial_12_on,9526.9405954
resp_True,9529.3899539
corr_True,9529.3900155
rt_0.436,9529.3900341
trial_12_end,9529.3900471
main_block_0_trial_13_on,9529.3901269
resp_False,9532.410686
corr_True,9532.4107232
trial_13_end,9532.4107293
main_block_0_trial_14_on,9532.4107482
resp_True,9534.8141391
corr_True,9534.8141727
rt_0.389,9534.8141817
trial_14_end,9534.814187
main_block_0_trial_15_on,9534.814226
resp_False,9537.8376917
corr_True,9537.8377287
trial_15_end,9537.8377357
main_block_0_trial_16_on,9537.8377542
resp_False,9540.8511796
corr_True,9540.8512164
trial_16_end,9540.8512466
main_block_0_trial_17_on,9540.8512664
resp_False,9543.8663924
corr_True,9543.8664308
trial_17_end,9543.8664375
main_block_0_trial_18_on,9543.8664565
resp_False,9546.8882592
corr_True,9546.8882949
trial_18_end,9546.8883015
main_block_0_trial_19_on,9546.8883202
resp_True,9549.2733839
corr_True,9549.2734212
rt_0.372,9549.2734306
trial_19_end,9549.2734359
main_block_0_trial_20_on,9549.273478
resp_False,9552.2951879
corr_True,9552.2952264
trial_20_end,9552.2952352
main_block_0_trial_21_on,9552.2952538
resp_False,9555.3097695
corr_True,9555.3098069
trial_21_end,9555.3098147
main_block_0_trial_22_on,9555.3098342
resp_True,9557.7325831
corr_True,9557.7326284
rt_0.411,9557.7326423
trial_22_end,9557.7326512
main_block_0_trial_23_on,9557.7327135
resp_False,9560.7545388
corr_True,9560.7545811
trial_23_end,9560.7545881
main_block_0_trial_24_on,9560.754609
resp_False,9563.766868
corr_True,9563.7669066
trial_24_end,9563.766914
main_block_0_trial_25_on,9563.7669349
resp_True,9566.1392925
corr_True,9566.1393393
rt_0.361,9566.1393569
trial_25_end,9566.139368
main_block_0_trial_26_on,9566.1394253
resp_False,9569.1636995
corr_True,9569.1637646
trial_26_end,9569.1637711
main_block_0_trial_27_on,9569.1637903
resp_False,9572.174257
corr_True,9572.1742961
trial_27_end,9572.1743029
main_block_0_trial_28_on,9572.1743235
resp_True,9574.5519858
corr_True,9574.5520205
rt_0.366,9574.5520326
trial_28_end,9574.5520449
main_block_0_trial_29_on,9574.5520831
resp_True,9576.9526619
corr_True,9576.9526943
rt_0.393,9576.9527067
trial_29_end,9576.9527145
main_block_0_trial_30_on,9576.9527616
resp_True,9579.3148112
corr_True,9579.314857
rt_0.356,9579.3148745
trial_30_end,9579.3148869
main_block_0_trial_31_on,9579.3149437
resp_False,9582.3375675
corr_True,9582.337605
trial_31_end,9582.3376118
main_block_0_trial_32_on,9582.3376313
resp_False,9585.354923
corr_True,9585.3549581
trial_32_end,9585.3549648
main_block_0_trial_33_on,9585.3549839
resp_False,9588.3793993
corr_True,9588.3794392
trial_33_end,9588.3794481
main_block_0_trial_34_on,9588.3794676
resp_False,9591.3982757
corr_True,9591.3983172
trial_34_end,9591.3983264
main_block_0_trial_35_on,9591.3983553
resp_True,9593.7825752
corr_True,9593.7826094
rt_0.372,9593.7826216
trial_35_end,9593.7826291
main_block_0_trial_36_on,9593.7826741
resp_True,9596.2325312
corr_True,9596.2325709
rt_0.443,9596.2325835
trial_36_end,9596.2325917
main_block_0_trial_37_on,9596.2326421
resp_False,9599.245299
corr_True,9599.2453355
trial_37_end,9599.2453425
main_block_0_trial_38_on,9599.2453639
resp_False,9602.258994
corr_True,9602.2590325
trial_38_end,9602.2590392
main_block_0_trial_39_on,9602.2590647
resp_False,9605.285018
corr_True,9605.2850604
trial_39_end,9605.2850693
main_block_0_trial_40_on,9605.2850922
resp_False,9608.3001897
corr_True,9608.3002322
trial_40_end,9608.3002386
main_block_0_trial_41_on,9608.3002578
resp_True,9610.6756831
corr_True,9610.6757245
rt_0.361,9610.6757347
trial_41_end,9610.6757406
main_block_0_trial_42_on,9610.6757759
resp_True,9613.064946
corr_True,9613.0649794
rt_0.381,9613.0649934
trial_42_end,9613.0650064
main_block_0_trial_43_on,9613.0650675
resp_False,9616.0868078
corr_True,9616.0868775
trial_43_end,9616.0868851
main_block_0_trial_44_on,9616.0869054
resp_False,9619.1002128
corr_True,9619.100251
trial_44_end,9619.1002576
main_block_0_trial_45_on,9619.100278
resp_False,9622.111487
corr_True,9622.1115246
trial_45_end,9622.1115315
main_block_0_trial_46_on,9622.1115544
resp_False,9625.1334269
corr_True,9625.1334605
trial_46_end,9625.1334672
main_block_0_trial_47_on,9625.1334871
resp_True,9627.540453
corr_True,9627.5405
rt_0.395,9627.5405133
trial_47_end,9627.5405221
main_block_0_end,9627.5405315
main_block_0_accuracy_1.00,9627.5405519
main_block_1_start,9636.0764112
"sequence_C,N,U,F,N,A,T,N,K,T,D,K,L,Q,K,L,C,K,I,C,W,I,D,C,Z,A,F,P,A,F,P,G,D,L,T,S,U,B,U,U,M,C,Q,P,C,Q,G,P",9636.0764492
"targets_4,7,9,11,14,15,17,19,21,28,29,30,39,44,45",9636.0764695
main_block_1_trial_0_on,9636.085327
resp_False,9639.0986374
corr_True,9639.0986739
