marker,timestamp
main_block_0_start,2474.0585002
"sequence_E,B,H,Z,L,Z,Z,R,G,F,H,V,R,G,C,I,Z,E,G,Z,A,Z,O,U,Z,Y,Z,Q,N,O,G,Y,F,O,Z,Z,G,C,E,Z,Z,Z,W,Z,Z,B,Z,O",2474.0585643
"targets_3,5,6,16,19,21,24,26,34,35,39,40,41,43,44,46",2474.0585957
main_block_0_trial_0_on,2474.0684001
resp_True,2476.0816697
corr_False,2476.0816977
rt_0.000,2476.0817058
trial_0_end,2476.0817106
main_block_0_trial_1_on,2476.0817285
resp_False,2479.0971165
corr_True,2479.0971511
trial_1_end,2479.0971563
main_block_0_trial_2_on,2479.0971711
resp_False,2482.1092343
corr_True,2482.1092736
trial_2_end,2482.1092783
main_block_0_trial_3_on,2482.1092939
resp_True,2484.482525
corr_True,2484.4825541
rt_0.363,2484.4825611
trial_3_end,2484.4825647
main_block_0_trial_4_on,2484.4825873
resp_False,2487.4936248
corr_True,2487.4936574
trial_4_end,2487.4936627
main_block_0_trial_5_on,2487.4936786
resp_True,2489.880781
corr_True,2489.8808129
rt_0.378,2489.8808404
trial_5_end,2489.8808472
main_block_0_trial_6_on,2489.8809058
resp_True,2492.3153782
corr_True,2492.3154152
rt_0.427,2492.3154229
trial_6_end,2492.3154266
main_block_0_trial_7_on,2492.3154549
resp_False,2495.3274935
corr_True,2495.3275286
trial_7_end,2495.3275334
main_block_0_trial_8_on,2495.3275487
resp_False,2498.3383666
corr_True,2498.338397
trial_8_end,2498.3384018
main_block_0_trial_9_on,2498.3384168
resp_False,2501.3487008
corr_True,2501.3487373
trial_9_end,2501.3487426
main_block_0_trial_10_on,2501.34876
resp_False,2504.3567912
corr_True,2504.3568253
trial_10_end,2504.3568303
main_block_0_trial_11_on,2504.356846
resp_False,2507.3657643
corr_True,2507.3658033
trial_11_end,2507.3658096
main_block_0_trial_12_on,2507.3658274
resp_False,2510.37519
corr_True,2510.375226
trial_12_end,2510.3752311
main_block_0_trial_13_on,2510.3752559
resp_False,2513.3818854
corr_True,2513.3819233
trial_13_end,2513.3819311
main_block_0_trial_14_on,2513.3819574
resp_False,2516.3935879
corr_True,2516.393622
trial_14_end,2516.3936273
main_block_0_trial_15_on,2516.3936431
resp_False,2519.4055856
corr_True,2519.4056233
trial_15_end,2519.405629
main_block_0_trial_16_on,2519.4056467
resp_True,2521.8064471
corr_True,2521.8064774
rt_0.393,2521.8064852
trial_16_end,2521.8064889
main_block_0_trial_17_on,2521.8065185
resp_False,2524.8145637
corr_True,2524.814603
trial_17_end,2524.8146099
main_block_0_trial_18_on,2524.8146292
resp_False,2527.8230703
corr_True,2527.8231055
trial_18_end,2527.8231106
main_block_0_trial_19_on,2527.8231291
resp_True,2530.1727272
corr_True,2530.1727652
rt_0.342,2530.1727724
trial_19_end,2530.1727761
main_block_0_trial_20_on,2530.1728065
resp_False,2533.1846392
corr_True,2533.1846729
trial_20_end,2533.1846781
main_block_0_trial_21_on,2533.184693
resp_True,2535.6267086
corr_True,2535.6267348
rt_0.434,2535.6267412
trial_21_end,2535.6267452
main_block_0_trial_22_on,2535.626771
resp_False,2538.6390807
corr_True,2538.6391175
trial_22_end,2538.6391228
main_block_0_trial_23_on,2538.6391388
resp_False,2541.6490351
corr_True,2541.6490673
trial_23_end,2541.6490725
main_block_0_trial_24_on,2541.6490878
resp_True,2544.0343932
corr_True,2544.0344256
rt_0.378,2544.0344335
trial_24_end,2544.0344377
main_block_0_trial_25_on,2544.0344645
resp_False,2547.0476178
corr_True,2547.047653
trial_25_end,2547.0476592
main_block_0_trial_26_on,2547.0476963
resp_True,2549.4697787
corr_True,2549.4698081
rt_0.413,2549.4698161
trial_26_end,2549.4698198
main_block_0_trial_27_on,2549.4698462
resp_False,2552.4827129
corr_True,2552.4827477
trial_27_end,2552.4827535
main_block_0_trial_28_on,2552.4827678
resp_False,2555.4946497
corr_True,2555.4946859
trial_28_end,2555.49471
main_block_0_trial_29_on,2555.4947261
resp_False,2558.5023964
corr_True,2558.5024382
trial_29_end,2558.5024439
main_block_0_trial_30_on,2558.502461
resp_False,2561.5107996
corr_True,2561.5108322
trial_30_end,2561.5108374
main_block_0_trial_31_on,2561.5108536
resp_False,2564.5175382
corr_True,2564.5175717
trial_31_end,2564.5175765
main_block_0_trial_32_on,2564.5175918
resp_False,2567.5271813
corr_True,2567.5272128
trial_32_end,2567.5272179
main_block_0_trial_33_on,2567.5272333
resp_False,2570.534799
corr_True,2570.5348403
trial_33_end,2570.5348456
main_block_0_trial_34_on,2570.534865
resp_True,2572.9094759
corr_True,2572.9095074
rt_0.366,2572.9095158
trial_34_end,2572.9095197
main_block_0_trial_35_on,2572.9095583
resp_True,2575.4040582
corr_True,2575.4040855
rt_0.488,2575.4040926
trial_35_end,2575.4040962
main_block_0_trial_36_on,2575.4041213
resp_False,2578.4139389
corr_True,2578.4139803
trial_36_end,2578.413986
main_block_0_trial_37_on,2578.4140062
resp_False,2581.4228811
corr_True,2581.4229161
trial_37_end,2581.4229208
main_block_0_trial_38_on,2581.4229378
resp_False,2584.4310639
corr_True,2584.4311049
trial_38_end,2584.4311107
main_block_0_trial_39_on,2584.4311269
resp_True,2586.8111776
corr_True,2586.8112055
rt_0.371,2586.8112122
trial_39_end,2586.8112177
main_block_0_trial_40_on,2586.811249
resp_True,2589.2636501
corr_True,2589.263688
rt_0.447,2589.263695
trial_40_end,2589.2636992
main_block_0_trial_41_on,2589.2637254
resp_True,2591.6784068
corr_True,2591.6784376
rt_0.409,2591.6784468
trial_41_end,2591.6784505
main_block_0_trial_42_on,2591.6784789
resp_False,2594.6903915
corr_True,2594.6904282
trial_42_end,2594.6904335
main_block_0_trial_43_on,2594.6904489
resp_True,2597.1083019
corr_True,2597.108334
rt_0.410,2597.1083413
trial_43_end,2597.108345
main_block_0_trial_44_on,2597.1083637
resp_True,2599.49112
corr_True,2599.4911534
rt_0.376,2599.4911603
trial_44_end,2599.4911646
main_block_0_trial_45_on,2599.4911904
resp_False,2602.5003564
corr_True,2602.5003944
trial_45_end,2602.5004031
main_block_0_trial_46_on,2602.5004206
resp_True,2604.9837235
corr_True,2604.9837534
rt_0.475,2604.9837608
trial_46_end,2604.9837648
main_block_0_trial_47_on,2604.9837915
resp_False,2607.9921684
corr_True,2607.9922007
trial_47_end,2607.9922062
main_block_0_end,2607.9922124
main_block_0_accuracy_0.98,2607.9922226
main_block_1_start,2642.5203957
"sequence_H,Y,S,Q,U,S,E,U,G,E,S,G,F,N,G,F,O,R,H,O,R,H,N,T,V,N,L,D,S,L,E,S,Y,V,J,L,V,D,D,J,L,D,W,N,W,W,L,M",2642.5204277
"targets_5,7,9,11,14,15,19,20,21,25,29,31,36,41,45",2642.5204404
main_block_1_trial_0_on,2642.5264684
resp_False,2645.5350631
corr_True,2645.5351007
trial_0_end,2645.5351062
main_block_1_trial_1_on,2645.5351249
resp_False,2648.5439784
corr_True,2648.5440144
trial_1_end,2648.5440193
main_block_1_trial_2_on,2648.5440353
resp_False,2651.555685
corr_True,2651.5557174
trial_2_end,2651.5557229
main_block_1_trial_3_on,2651.5557385
resp_False,2654.5647159
corr_True,2654.5647514
trial_3_end,2654.5647564
main_block_1_trial_4_on,2654.5647718
resp_False,2657.5720353
corr_True,2657.5720711
trial_4_end,2657.5720762
main_block_1_trial_5_on,2657.5720952
resp_True,2660.3595873
corr_True,2660.3596165
rt_0.779,2660.359624
trial_5_end,2660.3596278
main_block_1_trial_6_on,2660.3596525
resp_False,2663.3667472
corr_True,2663.3667816
trial_6_end,2663.3667865
main_block_1_trial_7_on,2663.3668021
resp_True,2666.338925
corr_True,2666.3389553
rt_0.965,2666.3389623
trial_7_end,2666.338966
main_block_1_trial_8_on,2666.338991
resp_False,2669.3484261
corr_True,2669.348466
trial_8_end,2669.3484713
main_block_1_trial_9_on,2669.3484896
resp_False,2672.3558707
corr_False,2672.3559053
trial_9_end,2672.3559103
main_block_1_trial_10_on,2672.3559252
resp_True,2674.3645195
corr_False,2674.3645557
rt_0.000,2674.3645664
trial_10_end,2674.3645722
main_block_1_trial_11_on,2674.364597
resp_False,2677.3880254
corr_False,2677.3880542
trial_11_end,2677.3880589
main_block_1_trial_12_on,2677.3880731
resp_False,2680.3972466
corr_True,2680.3972831
