marker,timestamp
main_block_0_start,6635.7671017
"sequence_T,I,D,U,T,E,K,U,T,T,B,I,B,T,S,S,C,T,A,I,O,T,T,D,D,P,B,U,T,V,T,T,T,B,K,H,Y,E,B,T,T,T,G,P,D,U,L,T",6635.7671331
"targets_0,4,8,9,13,17,21,22,28,30,31,32,39,40,41,47",6635.767146
main_block_0_trial_0_on,6635.7744157
resp_True,6638.2049733
corr_True,6638.2050066
rt_0.418,6638.2050143
trial_0_end,6638.2050178
main_block_0_trial_1_on,6638.2050456
resp_False,6641.2151422
corr_True,6641.2151797
trial_1_end,6641.2151855
main_block_0_trial_2_on,6641.2152045
resp_False,6644.225195
corr_True,6644.2252285
trial_2_end,6644.2252334
main_block_0_trial_3_on,6644.2252483
resp_False,6647.2356905
corr_True,6647.2357252
trial_3_end,6647.23573
main_block_0_trial_4_on,6647.2357442
resp_True,6649.6751728
corr_True,6649.6752025
rt_0.433,6649.6752089
trial_4_end,6649.6752124
main_block_0_trial_5_on,6649.6752365
resp_False,6652.684863
corr_True,6652.6848966
trial_5_end,6652.6849013
main_block_0_trial_6_on,6652.6849157
resp_False,6655.6968127
corr_True,6655.6968468
trial_6_end,6655.6968519
main_block_0_trial_7_on,6655.6968668
resp_False,6658.7052407
corr_True,6658.7052742
trial_7_end,6658.7052797
main_block_0_trial_8_on,6658.7052958
resp_True,6661.0923371
corr_True,6661.0923686
rt_0.378,6661.0923761
trial_8_end,6661.0923796
main_block_0_trial_9_on,6661.092418
resp_True,6663.53736
corr_True,6663.5373906
rt_0.439,6663.537397
trial_9_end,6663.5374079
main_block_0_trial_10_on,6663.5374461
resp_False,6666.5487478
corr_True,6666.5487797
trial_10_end,6666.5487846
main_block_0_trial_11_on,6666.5488003
resp_False,6669.5578139
corr_True,6669.5578491
trial_11_end,6669.5578548
main_block_0_trial_12_on,6669.5578898
resp_False,6672.5658132
corr_True,6672.5658447
trial_12_end,6672.5658505
main_block_0_trial_13_on,6672.5658673
resp_True,6675.0740971
corr_True,6675.0741273
rt_0.501,6675.0741348
trial_13_end,6675.0741384
main_block_0_trial_14_on,6675.0741619
resp_False,6678.0873383
corr_True,6678.0873676
trial_14_end,6678.087373
main_block_0_trial_15_on,6678.0873872
resp_False,6681.0926421
corr_True,6681.0926776
trial_15_end,6681.0926833
main_block_0_trial_16_on,6681.0926988
resp_False,6684.1042789
corr_True,6684.1043071
trial_16_end,6684.104312
main_block_0_trial_17_on,6684.1043267
resp_True,6686.5722054
corr_True,6686.5722344
rt_0.457,6686.5722411
trial_17_end,6686.5722452
main_block_0_trial_18_on,6686.5722704
resp_False,6689.5829424
corr_True,6689.5829779
trial_18_end,6689.5829832
main_block_0_trial_19_on,6689.5829998
resp_False,6692.5910206
corr_True,6692.5910537
trial_19_end,6692.5910591
main_block_0_trial_20_on,6692.5910767
resp_False,6695.6040671
corr_True,6695.6041009
trial_20_end,6695.6041058
main_block_0_trial_21_on,6695.6041207
resp_True,6698.1374484
corr_True,6698.1374742
rt_0.524,6698.1374813
