marker,timestamp
main_block_0_start,109531.5979661
"sequence_S,T,M,M,F,L,H,Y,F,G,M,M,A,B,M,V,E,O,M,V,Q,I,M,M,F,G,O,M,J,F,Y,O,M,M,Z,M,O,L,M,F,M,Y,K,U,Z,M,J,M",109531.5980521
"targets_2,3,10,11,14,18,22,23,27,32,33,35,38,40,45,47",109531.5981375
main_block_0_trial_0_on,109531.621383
resp_False,109534.6499161
corr_True,109534.6499537
trial_0_end,109534.6499603
main_block_0_trial_1_on,109534.6499803
resp_False,109537.6712402
corr_True,109537.671278
trial_1_end,109537.6712848
main_block_0_trial_2_on,109537.671305
resp_True,109540.0459028
corr_True,109540.0459504
rt_0.354,109540.0459649
trial_2_end,109540.0459732
main_block_0_trial_3_on,109540.0460222
resp_True,109542.5510747
corr_True,109542.5511289
rt_0.496,109542.5511426
trial_3_end,109542.5511513
main_block_0_trial_4_on,109542.5511973
resp_False,109545.57401
corr_True,109545.5740539
trial_4_end,109545.5740626
main_block_0_trial_5_on,109545.5740834
resp_False,109548.5948612
corr_True,109548.5948994
trial_5_end,109548.5949068
main_block_0_trial_6_on,109548.594928
resp_False,109551.6187178
corr_True,109551.6187577
trial_6_end,109551.6187648
main_block_0_trial_7_on,109551.6187843
resp_False,109554.6368585
corr_True,109554.6368973
trial_7_end,109554.6369056
main_block_0_trial_8_on,109554.6369271
resp_False,109557.6506097
corr_True,109557.6506498
trial_8_end,109557.6506563
main_block_0_trial_9_on,109557.6506771
resp_False,109560.6717339
corr_True,109560.6717715
trial_9_end,109560.6717785
main_block_0_trial_10_on,109560.6717996
resp_True,109563.3403804
corr_True,109563.3404266
rt_0.655,109563.3404395
trial_10_end,109563.3404475
main_block_0_trial_11_on,109563.3404953
resp_True,109565.8524667
corr_True,109565.8525027
rt_0.504,109565.8525151
trial_11_end,109565.8525225
main_block_0_trial_12_on,109565.8525729
resp_False,109568.8745769
corr_True,109568.8746142
trial_12_end,109568.8746218
main_block_0_trial_13_on,109568.8746436
resp_False,109571.8912006
corr_True,109571.8912398
trial_13_end,109571.8912471
main_block_0_trial_14_on,109571.8912684
resp_True,109574.4373429
corr_True,109574.4373773
rt_0.534,109574.437389
trial_14_end,109574.4373973
main_block_0_trial_15_on,109574.4374425
resp_False,109577.4614278
corr_True,109577.4614676
trial_15_end,109577.4614759
main_block_0_trial_16_on,109577.461496
resp_False,109580.4778258
corr_True,109580.4778658
trial_16_end,109580.4778723
main_block_0_trial_17_on,109580.4778927
resp_False,109583.4978505
corr_True,109583.4978897
trial_17_end,109583.4978967
main_block_0_trial_18_on,109583.4979166
resp_True,109586.0479169
corr_True,109586.0479623
rt_0.538,109586.0479821
trial_18_end,109586.0479963
main_block_0_trial_19_on,109586.0481
resp_False,109589.0609502
corr_True,109589.0609898
trial_19_end,109589.0609974
