marker,timestamp
main_block_0_start,352765.1779943
"sequence_T,S,T,T,G,T,I,S,T,T,L,R,H,H,W,Z,T,T,R,V,H,C,U,Q,Y,G,T,T,K,W,N,D,T,T,T,Z,C,T,I,O,U,Z,T,W,F,Q,T,P",352765.1780976
"targets_0,2,3,5,8,9,16,17,26,27,32,33,34,37,42,46",352765.1781499
main_block_0_trial_0_on,352765.2011315
resp_True,352767.6266878
corr_True,352767.6267265
rt_0.400,352767.6267401
trial_0_end,352767.6267455
main_block_0_trial_1_on,352767.6267845
resp_False,352770.6483961
corr_True,352770.6484372
trial_1_end,352770.648445
main_block_0_trial_2_on,352770.6484663
resp_True,352773.0529535
corr_True,352773.0529905
rt_0.392,352773.0530003
trial_2_end,352773.0530058
main_block_0_trial_3_on,352773.0530596
resp_True,352775.6273848
corr_True,352775.6274221
rt_0.567,352775.6274455
trial_3_end,352775.6274545
main_block_0_trial_4_on,352775.6274993
resp_False,352778.6559217
corr_True,352778.6559625
trial_4_end,352778.6559692
main_block_0_trial_5_on,352778.6559894
resp_True,352781.0532605
corr_True,352781.0532994
rt_0.385,352781.0533165
trial_5_end,352781.0533257
main_block_0_trial_6_on,352781.0533702
resp_False,352784.0688919
corr_True,352784.0689286
trial_6_end,352784.0689355
main_block_0_trial_7_on,352784.0689563
resp_False,352787.0812757
corr_True,352787.0813162
trial_7_end,352787.0813233
main_block_0_trial_8_on,352787.0813441
resp_True,352789.4822511
corr_True,352789.4822874
rt_0.388,352789.4823067
trial_8_end,352789.4823165
main_block_0_trial_9_on,352789.4823739
resp_True,352792.0090096
corr_True,352792.0090534
rt_0.519,352792.0090694
trial_9_end,352792.0090788
main_block_0_trial_10_on,352792.0091257
resp_False,352795.0306956
corr_True,352795.0307347
trial_10_end,352795.0307416
main_block_0_trial_11_on,352795.0307618
resp_False,352798.0530788
corr_True,352798.0531183
trial_11_end,352798.0531256
main_block_0_trial_12_on,352798.0531466
resp_False,352801.0766074
corr_True,352801.0766461
trial_12_end,352801.0766523
