marker,timestamp
main_block_0_start,431738.1118907
"sequence_R,P,G,R,V,X,R,R,J,R,B,N,A,X,R,X,E,R,U,R,C,S,X,Z,J,K,R,H,A,F,O,R,K,V,R,R,A,J,B,R,H,R,R,B,R,Z,M,I",431738.1119732
"targets_0,3,6,7,9,14,17,19,26,31,34,35,39,41,42,44",431738.1120062
main_block_0_trial_0_on,431738.1344194
resp_True,431740.8210609
corr_True,431740.8210923
rt_0.659,431740.8211011
trial_0_end,431740.8211061
main_block_0_trial_1_on,431740.8211378
resp_False,431743.8435242
corr_True,431743.8435651
trial_1_end,431743.843597
main_block_0_trial_2_on,431743.8436172
resp_False,431746.8661415
corr_True,431746.8662057
trial_2_end,431746.8662129
main_block_0_trial_3_on,431746.8662329
resp_True,431749.3123691
corr_True,431749.3124311
rt_0.433,431749.3124405
trial_3_end,431749.3124456
main_block_0_trial_4_on,431749.3125059
resp_False,431752.3336906
corr_True,431752.3337315
trial_4_end,431752.333738
main_block_0_trial_5_on,431752.3337617
resp_False,431755.3558668
corr_True,431755.3559029
trial_5_end,431755.35591
main_block_0_trial_6_on,431755.3559303
resp_True,431757.9298329
corr_True,431757.929874
rt_0.562,431757.9298841
trial_6_end,431757.9298899
main_block_0_trial_7_on,431757.9299281
resp_True,431760.504788
corr_True,431760.5048282
rt_0.568,431760.5048408
trial_7_end,431760.5048493
main_block_0_trial_8_on,431760.5049085
resp_False,431763.5208876
corr_True,431763.5209524
trial_8_end,431763.5209594
main_block_0_trial_9_on,431763.5209805
resp_True,431766.0029751
corr_True,431766.0030261
rt_0.469,431766.0030415
trial_9_end,431766.003051
main_block_0_trial_10_on,431766.0031089
resp_False,431769.0245105
corr_True,431769.0245544
trial_10_end,431769.0245762
main_block_0_trial_11_on,431769.0245963
resp_False,431772.0466294
corr_True,431772.0466944
trial_11_end,431772.0467009
main_block_0_trial_12_on,431772.0467202
resp_False,431775.0650782
corr_True,431775.0651163
trial_12_end,431775.0651258
main_block_0_trial_13_on,431775.0651468
resp_False,431778.0772577
corr_True,431778.077329
trial_13_end,431778.0773405
main_block_0_trial_14_on,431778.0774272
resp_True,431780.7491104
corr_True,431780.7491451
rt_0.660,431780.7491534
trial_14_end,431780.7491586
main_block_0_trial_15_on,431780.749191
resp_False,431783.7623421
corr_True,431783.7623823
trial_15_end,431783.7623895
main_block_0_trial_16_on,431783.7624112
resp_False,431786.7840477
corr_True,431786.7840881
trial_16_end,431786.784095
main_block_0_trial_17_on,431786.7841161
resp_True,431789.3997311
corr_True,431789.3997642
rt_0.603,431789.3997729
trial_17_end,431789.3997784
main_block_0_trial_18_on,431789.3998114
resp_False,431792.419974
corr_True,431792.4200143
trial_18_end,431792.4200216
main_block_0_trial_19_on,431792.4200425
resp_True,431794.8614373
corr_True,431794.8614817
rt_0.429,431794.8614926
trial_19_end,431794.861498
main_block_0_trial_20_on,431794.8615451
resp_False,431797.8806304
corr_True,431797.8806687
trial_20_end,431797.8806753
main_block_0_trial_21_on,431797.8806952
resp_False,431800.9033371
corr_True,431800.9033743
trial_21_end,431800.9033813
main_block_0_trial_22_on,431800.9034022
resp_False,431803.9153239
corr_True,431803.9153642
trial_22_end,431803.9153711
main_block_0_trial_23_on,431803.915393
resp_False,431806.9337029
corr_True,431806.9337391
trial_23_end,431806.9337459
main_block_0_trial_24_on,431806.933769
resp_False,431809.9462269
corr_True,431809.9462707
trial_24_end,431809.9462779
main_block_0_trial_25_on,431809.9462973
resp_False,431812.9683868
corr_True,431812.9684236
trial_25_end,431812.9684308
main_block_0_trial_26_on,431812.9684534
resp_True,431815.4877278
corr_True,431815.4877617
rt_0.506,431815.4877732
trial_26_end,431815.4877819
main_block_0_trial_27_on,431815.4878318
resp_False,431818.5067166
corr_True,431818.5067586
trial_27_end,431818.5067661
main_block_0_trial_28_on,431818.5067884
resp_False,431821.5214769
corr_True,431821.5215202
trial_28_end,431821.5215305
main_block_0_trial_29_on,431821.5215534
resp_False,431824.5436533
corr_True,431824.5436949
trial_29_end,431824.5437023
main_block_0_trial_30_on,431824.5437235
resp_False,431827.5662365
corr_True,431827.5662754
trial_30_end,431827.5662826
main_block_0_trial_31_on,431827.5663024
resp_True,431830.0994069
corr_True,431830.099451
rt_0.520,431830.0994651
trial_31_end,431830.0994739
main_block_0_trial_32_on,431830.0995468
resp_False,431833.1131107
corr_True,431833.1131486
trial_32_end,431833.1131562
main_block_0_trial_33_on,431833.113179
resp_False,431836.125446
corr_True,431836.1254853
trial_33_end,431836.1254919
main_block_0_trial_34_on,431836.1255137
resp_True,431838.5084627
corr_True,431838.5085151
rt_0.370,431838.5085305
trial_34_end,431838.5085413
main_block_0_trial_35_on,431838.5085991
resp_True,431840.9349252
corr_True,431840.9349568
rt_0.419,431840.9349657
trial_35_end,431840.9349713
main_block_0_trial_36_on,431840.9350087
resp_False,431843.9483208
corr_True,431843.9483611
trial_36_end,431843.9483682
main_block_0_trial_37_on,431843.9483895
resp_False,431846.9620986
corr_True,431846.9621342
trial_37_end,431846.9621413
main_block_0_trial_38_on,431846.9621628
resp_False,431849.9750818
corr_True,431849.9751415
trial_38_end,431849.9751523
main_block_0_trial_39_on,431849.9751793
resp_True,431852.4022478
corr_True,431852.4022913
rt_0.414,431852.4023099
trial_39_end,431852.4023202
main_block_0_trial_40_on,431852.4023794
resp_False,431855.4145026
corr_True,431855.4145405
trial_40_end,431855.4145737
main_block_0_trial_41_on,431855.4145938
resp_True,431857.8280108
corr_True,431857.8280454
rt_0.401,431857.8280539
trial_41_end,431857.8280594
main_block_0_trial_42_on,431857.8280943
resp_True,431860.2357198
corr_True,431860.2357555
rt_0.400,431860.2357641
trial_42_end,431860.2357692
main_block_0_trial_43_on,431860.2358026
resp_False,431863.2491359
corr_True,431863.2491722
trial_43_end,431863.2491799
main_block_0_trial_44_on,431863.2492015
resp_True,431865.7081676
corr_True,431865.7082288
rt_0.445,431865.7082468
trial_44_end,431865.7082599
main_block_0_trial_45_on,431865.7083419
resp_False,431868.7218006
corr_True,431868.7218445
trial_45_end,431868.7218532
main_block_0_trial_46_on,431868.7218733
resp_False,431871.7443524
corr_True,431871.744392
trial_46_end,431871.744399
main_block_0_trial_47_on,431871.74442
resp_False,431874.7637164
corr_True,431874.7637643
trial_47_end,431874.7637714
main_block_0_end,431874.7637786
main_block_0_accuracy_1.00,431874.7638382
main_block_1_start,431886.3053233
"sequence_Z,E,K,Z,G,I,D,G,I,W,S,C,W,V,H,C,V,H,I,Y,H,W,F,Z,W,A,R,W,T,R,A,X,R,T,L,D,T,K,D,P,C,D,Z,E,L,Q,D,L",431886.3053677
"targets_3,7,8,12,16,17,20,24,27,29,32,36,38,41,47",431886.3053929
main_block_1_trial_0_on,431886.3150464
resp_False,431889.3290561
corr_True,431889.3290915
trial_0_end,431889.3290982
main_block_1_trial_1_on,431889.3291191
resp_False,431892.3423834
corr_True,431892.3424246
trial_1_end,431892.3424314
main_block_1_trial_2_on,431892.3424504
resp_False,431895.353615
corr_True,431895.3536501
trial_2_end,431895.3536577
main_block_1_trial_3_on,431895.3536794
resp_True,431897.9331054
corr_True,431897.9331453
rt_0.568,431897.93316
trial_3_end,431897.9331699
main_block_1_trial_4_on,431897.9332372
resp_False,431900.9466631
corr_True,431900.9467005
trial_4_end,431900.946708
main_block_1_trial_5_on,431900.9467293
resp_False,431903.9584372
corr_True,431903.9584783
trial_5_end,431903.958486
main_block_1_trial_6_on,431903.958507
resp_False,431906.9800091
corr_True,431906.9800478
trial_6_end,431906.9800548
main_block_1_trial_7_on,431906.9800752
resp_True,431909.3207704
corr_True,431909.320821
rt_0.327,431909.3208451
trial_7_end,431909.3208599
main_block_1_trial_8_on,431909.3209289
resp_True,431911.7437681
corr_True,431911.7438185
rt_0.408,431911.7438382
trial_8_end,431911.7438522
main_block_1_trial_9_on,431911.7439159
resp_False,431914.764554
corr_True,431914.764594
trial_9_end,431914.7646012
main_block_1_trial_10_on,431914.7646217
resp_False,431917.7785998
corr_True,431917.7786387
trial_10_end,431917.7786454
main_block_1_trial_11_on,431917.7786656
resp_False,431920.7907654
corr_True,431920.7908144
trial_11_end,431920.7908245
main_block_1_trial_12_on,431920.7908457
resp_True,431923.4000279
corr_True,431923.4000797
rt_0.597,431923.400103
trial_12_end,431923.4001177
main_block_1_trial_13_on,431923.4001755
resp_False,431926.4125726
corr_True,431926.4126286
trial_13_end,431926.4126413
main_block_1_trial_14_on,431926.4126749
resp_False,431929.425936
corr_True,431929.4259744
trial_14_end,431929.425983
main_block_1_trial_15_on,431929.4260039
resp_False,431932.4390191
corr_True,431932.43906
trial_15_end,431932.4390672
main_block_1_trial_16_on,431932.4390869
resp_True,431935.0192431
corr_True,431935.0192757
rt_0.568,431935.019288
trial_16_end,431935.0192959
main_block_1_trial_17_on,431935.0193317
resp_True,431937.5441003
corr_True,431937.5441353
rt_0.511,431937.5441444
trial_17_end,431937.5441681
main_block_1_trial_18_on,431937.544204
resp_False,431940.557493
corr_True,431940.5575327
trial_18_end,431940.5575394
main_block_1_trial_19_on,431940.5575619
resp_False,431943.5802568
corr_True,431943.5802968
trial_19_end,431943.580305
main_block_1_trial_20_on,431943.58033
resp_True,431946.3536372
corr_True,431946.3536781
rt_0.758,431946.3536873
trial_20_end,431946.3536926
main_block_1_trial_21_on,431946.3537505
resp_False,431949.3661199
corr_True,431949.3661564
trial_21_end,431949.3661664
main_block_1_trial_22_on,431949.3663905
resp_False,431952.3785094
corr_True,431952.3785504
trial_22_end,431952.3785572
main_block_1_trial_23_on,431952.3785787
resp_False,431955.3896114
corr_True,431955.3896489
trial_23_end,431955.3896563
main_block_1_trial_24_on,431955.3896771
resp_True,431957.8671237
corr_True,431957.8671621
rt_0.464,431957.8671817
trial_24_end,431957.867192
main_block_1_trial_25_on,431957.8672447
resp_False,431960.8798385
corr_True,431960.8798798
trial_25_end,431960.8798865
main_block_1_trial_26_on,431960.8799075
resp_False,431963.8925262
corr_True,431963.8925666
trial_26_end,431963.892575
main_block_1_trial_27_on,431963.8925957
resp_True,431966.4675807
corr_True,431966.4676467
rt_0.562,431966.4676627
trial_27_end,431966.4676736
main_block_1_trial_28_on,431966.4677443
resp_False,431969.4884424
corr_True,431969.4885063
trial_28_end,431969.4885133
main_block_1_trial_29_on,431969.4885331
resp_True,431972.0495111
corr_True,431972.0495475
rt_0.549,431972.0495597
trial_29_end,431972.0495674
main_block_1_trial_30_on,431972.0496631
resp_False,431975.0637564
corr_True,431975.0637932
trial_30_end,431975.0637998
main_block_1_trial_31_on,431975.0638196
resp_True,431977.0773962
corr_False,431977.0774654
rt_0.000,431977.077491
trial_31_end,431977.0775043
main_block_1_trial_32_on,431977.077562
resp_False,431980.0986238
corr_False,431980.0986625
trial_32_end,431980.0986694
main_block_1_trial_33_on,431980.0986917
resp_False,431983.110882
corr_True,431983.1109168
trial_33_end,431983.1109239
main_block_1_trial_34_on,431983.1109446
resp_False,431986.1316262
corr_True,431986.1316677
trial_34_end,431986.1316751
main_block_1_trial_35_on,431986.1316981
resp_False,431989.1451496
corr_True,431989.145222
trial_35_end,431989.1452296
main_block_1_trial_36_on,431989.1452528
resp_True,431991.869008
corr_True,431991.8690591
rt_0.712,431991.8690824
trial_36_end,431991.8690967
main_block_1_trial_37_on,431991.8692159
resp_False,431994.8822572
corr_True,431994.8823089
trial_37_end,431994.8823168
main_block_1_trial_38_on,431994.8823376
resp_True,431997.5247945
corr_True,431997.5248279
rt_0.629,431997.5248401
trial_38_end,431997.5248484
main_block_1_trial_39_on,431997.5248942
resp_False,432000.5379464
corr_True,432000.5379875
trial_39_end,432000.5379952
main_block_1_trial_40_on,432000.5380157
resp_False,432003.5519206
corr_True,432003.5519594
trial_40_end,432003.5519664
main_block_1_trial_41_on,432003.5519879
resp_True,432006.1610611
corr_True,432006.1611301
rt_0.597,432006.1611489
trial_41_end,432006.1611628
main_block_1_trial_42_on,432006.1612287
resp_False,432009.1740175
corr_True,432009.1740539
trial_42_end,432009.1740626
main_block_1_trial_43_on,432009.1740856
resp_False,432012.1867718
corr_True,432012.1868122
trial_43_end,432012.1868194
main_block_1_trial_44_on,432012.186845
resp_False,432015.1992324
corr_True,432015.1992677
trial_44_end,432015.1992748
main_block_1_trial_45_on,432015.1992966
resp_False,432018.2233787
corr_True,432018.2234194
trial_45_end,432018.2234268
main_block_1_trial_46_on,432018.2234494
resp_False,432021.2362842
corr_True,432021.2363233
trial_46_end,432021.2363301
main_block_1_trial_47_on,432021.2364809
resp_True,432023.8932949
corr_True,432023.893332
rt_0.645,432023.8933414
trial_47_end,432023.8933474
main_block_1_end,432023.8933547
main_block_1_accuracy_0.96,432023.8933626
"question_How_focused_did_you_feel?
(1_=_not_at_all,_5_=_very_focused)_resp_4",432088.9599159
"question_How_difficult_was_this_block?
(1_=_very_easy,_5_=_very_hard)_resp_5",432094.4317445
"question_Did_you_understand_the_task?
(y_=_yes,_n_=_no)_resp_y",432096.2526057
"question_Do_you_feel_ready_to_continue?
(y_=_yes,_n_=_no)_resp_y",432097.2692428
main_block_2_start,432101.3981077
"sequence_S,R,D,L,L,P,P,P,O,D,H,Z,Y,Y,D,N,A,A,A,A,A,J,Q,Q,Y,Y,H,H,D,P,K,W,K,K,K,F,F,T,I,E,T,H,Z,U,E,A,E,E",432101.3981444
"targets_4,6,7,13,17,18,19,20,23,25,27,33,34,36,47",432101.3981746
main_block_2_trial_0_on,432101.4060735
resp_False,432104.4197928
corr_True,432104.4198344
trial_0_end,432104.419841
main_block_2_trial_1_on,432104.4198613
resp_False,432107.4314811
corr_True,432107.431519
