marker,timestamp
main_block_0_start,363988.3715066
"sequence_J,X,X,M,X,L,X,W,M,K,E,M,F,L,M,I,X,X,L,S,X,J,X,X,L,I,X,X,X,M,X,U,L,X,P,P,U,J,T,U,R,F,X,X,M,V,T,E",363988.3715399
"targets_1,2,4,6,16,17,20,22,23,26,27,28,30,33,42,43",363988.3715519
main_block_0_trial_0_on,363988.3906087
resp_False,363991.4006011
corr_True,363991.4006331
trial_0_end,363991.4006383
main_block_0_trial_1_on,363991.4006536
resp_True,363993.9630062
corr_True,363993.9630371
rt_0.554,363993.9630451
trial_1_end,363993.9630488
main_block_0_trial_2_on,363993.9630773
resp_True,363996.6837719
corr_True,363996.6838021
rt_0.717,363996.6838097
trial_2_end,363996.6838135
main_block_0_trial_3_on,363996.6838511
resp_False,363999.69323
corr_True,363999.693267
trial_3_end,363999.6932733
main_block_0_trial_4_on,363999.69329
resp_True,364002.1635718
corr_True,364002.1636005
rt_0.465,364002.1636078
trial_4_end,364002.1636115
main_block_0_trial_5_on,364002.1636408
resp_False,364005.1731892
corr_True,364005.1732222
trial_5_end,364005.1732285
main_block_0_trial_6_on,364005.1732459
resp_True,364007.7279577
corr_True,364007.7279855
rt_0.549,364007.7279933
trial_6_end,364007.7279971
main_block_0_trial_7_on,364007.7280221
resp_False,364010.7370251
corr_True,364010.7370583
trial_7_end,364010.7370634
main_block_0_trial_8_on,364010.7370812
resp_False,364013.7428923
corr_True,364013.7429261
trial_8_end,364013.7429322
main_block_0_trial_9_on,364013.7429506
resp_False,364016.7520024
corr_True,364016.752037
trial_9_end,364016.7520423
main_block_0_trial_10_on,364016.7520609
resp_False,364019.7597986
corr_True,364019.7598299
trial_10_end,364019.7598352
main_block_0_trial_11_on,364019.7598521
resp_False,364022.7652455
corr_True,364022.7652774
trial_11_end,364022.7652824
main_block_0_trial_12_on,364022.7652998
resp_False,364025.7723715
corr_True,364025.7724032
trial_12_end,364025.7724084
main_block_0_trial_13_on,364025.7724263
resp_False,364028.778643
corr_True,364028.7786771
trial_13_end,364028.7786824
main_block_0_trial_14_on,364028.7787005
resp_False,364031.7841377
corr_True,364031.784168
trial_14_end,364031.7841756
main_block_0_trial_15_on,364031.7841941
resp_False,364034.7938822
corr_True,364034.7939159
trial_15_end,364034.7939218
main_block_0_trial_16_on,364034.7939407
resp_True,364037.2586241
corr_True,364037.2586583
rt_0.458,364037.2586666
trial_16_end,364037.2586716
main_block_0_trial_17_on,364037.2587113
resp_True,364039.7775401
corr_True,364039.7775717
rt_0.514,364039.7775796
trial_17_end,364039.7775836
main_block_0_trial_18_on,364039.7776127
resp_False,364042.7824875
corr_True,364042.7825184
trial_18_end,364042.7825243
main_block_0_trial_19_on,364042.7825414
resp_False,364045.7908905
corr_True,364045.7909229
trial_19_end,364045.7909283
main_block_0_trial_20_on,364045.7909467
resp_True,364048.5053976
corr_True,364048.505426
rt_0.709,364048.5054344
trial_20_end,364048.5054381
main_block_0_trial_21_on,364048.5054678
resp_False,364051.5111991
corr_True,364051.5112306
trial_21_end,364051.5112361
main_block_0_trial_22_on,364051.5112531
resp_True,364054.0536386
corr_True,364054.0536701
rt_0.537,364054.0536782
trial_22_end,364054.053682
main_block_0_trial_23_on,364054.0537112
resp_True,364057.0550036
corr_True,364057.055034
rt_0.997,364057.0550411
trial_23_end,364057.0550467
main_block_0_trial_24_on,364057.0550754
resp_False,364060.0606599
corr_True,364060.0606943
trial_24_end,364060.0606994
main_block_0_trial_25_on,364060.0607169
resp_False,364063.0663156
corr_True,364063.0663481
trial_25_end,364063.066353
main_block_0_trial_26_on,364063.0663689
resp_True,364065.6346912
corr_True,364065.6347224
rt_0.563,364065.6347299
trial_26_end,364065.6347336
main_block_0_trial_27_on,364065.6347625
resp_True,364068.5762516
corr_True,364068.5762817
rt_0.937,364068.5762892
trial_27_end,364068.5762931
main_block_0_trial_28_on,364068.5763227
resp_False,364071.5805726
corr_False,364071.5806059
trial_28_end,364071.5806111
main_block_0_trial_29_on,364071.5806276
resp_True,364073.5869324
corr_False,364073.5869653
rt_0.000,364073.586973
trial_29_end,364073.5869783
main_block_0_trial_30_on,364073.5870008
resp_True,364076.3875438
corr_True,364076.3875713
rt_0.789,364076.3875785
trial_30_end,364076.3875821
