marker,timestamp
main_block_0_start,515731.3593628
"sequence_P,H,A,V,Z,H,H,I,H,Y,Q,V,L,H,B,H,H,H,E,H,F,M,Y,H,O,R,H,Q,H,R,J,T,H,K,H,I,P,H,T,J,Y,R,U,E,M,H,X,C",515731.3594029
"targets_1,5,6,8,13,15,16,17,19,23,26,28,32,34,37,45",515731.3594178
main_block_0_trial_0_on,515731.379687
resp_False,515734.3954945
corr_True,515734.3955303
trial_0_end,515734.395538
main_block_0_trial_1_on,515734.3955582
resp_True,515736.8696144
corr_True,515736.8696621
rt_0.459,515736.8696843
trial_1_end,515736.8696993
main_block_0_trial_2_on,515736.8697776
resp_False,515739.8804148
corr_True,515739.8804536
trial_2_end,515739.8804633
main_block_0_trial_3_on,515739.8804933
resp_False,515742.8919621
corr_True,515742.8919996
trial_3_end,515742.8920058
main_block_0_trial_4_on,515742.8920269
resp_False,515745.9053683
corr_True,515745.905433
trial_4_end,515745.9054396
main_block_0_trial_5_on,515745.9054624
resp_True,515748.2913498
corr_True,515748.2913971
rt_0.379,515748.291411
trial_5_end,515748.2914198
main_block_0_trial_6_on,515748.2914946
resp_True,515751.1179989
corr_True,515751.1180444
rt_0.821,515751.1180582
trial_6_end,515751.1180669
main_block_0_trial_7_on,515751.1181113
resp_False,515754.1316009
corr_True,515754.1316392
trial_7_end,515754.1316457
main_block_0_trial_8_on,515754.1316663
resp_True,515756.7693065
corr_True,515756.7693414
rt_0.630,515756.7693549
trial_8_end,515756.7693705
main_block_0_trial_9_on,515756.7694179
resp_False,515759.7789617
corr_True,515759.7790012
trial_9_end,515759.7790083
main_block_0_trial_10_on,515759.779032
resp_False,515762.7953963
corr_True,515762.7954595
trial_10_end,515762.795467
main_block_0_trial_11_on,515762.7954901
resp_False,515765.8019214
corr_True,515765.8019612
trial_11_end,515765.8019688
main_block_0_trial_12_on,515765.8019913
resp_False,515768.8155456
corr_True,515768.8156193
trial_12_end,515768.8156398
main_block_0_trial_13_on,515768.8157247
resp_True,515771.2270757
corr_True,515771.2271559
rt_0.401,515771.2271738
trial_13_end,515771.2271842
main_block_0_trial_14_on,515771.2272592
resp_False,515774.2383346
corr_True,515774.2383732
trial_14_end,515774.2383808
main_block_0_trial_15_on,515774.2384022
resp_True,515776.6776644
corr_True,515776.6776995
rt_0.431,515776.6777106
trial_15_end,515776.6777172
main_block_0_trial_16_on,515776.6777605
resp_True,515779.1602167
corr_True,515779.1602758
rt_0.477,515779.1602916
trial_16_end,515779.1603013
main_block_0_trial_17_on,515779.1603475
resp_True,515781.6007193
corr_True,515781.6007636
rt_0.435,515781.6007776
trial_17_end,515781.6007871
main_block_0_trial_18_on,515781.6008397
resp_False,515784.6151423
corr_True,515784.6151763
trial_18_end,515784.6151871
main_block_0_trial_19_on,515784.6152093
resp_True,515787.0577746
corr_True,515787.0578132
rt_0.433,515787.0578264
trial_19_end,515787.0578343
main_block_0_trial_20_on,515787.0578823
resp_False,515790.0675796
corr_True,515790.0676182
trial_20_end,515790.0676248
main_block_0_trial_21_on,515790.0676463
resp_False,515793.0803623
corr_True,515793.0804023
trial_21_end,515793.0804095
main_block_0_trial_22_on,515793.0804324
resp_False,515796.0880975
corr_True,515796.0881453
trial_22_end,515796.0881523
main_block_0_trial_23_on,515796.0881755
resp_True,515798.5549927
corr_True,515798.5550449
rt_0.459,515798.5550847
trial_23_end,515798.5550934
main_block_0_trial_24_on,515798.5551631
resp_False,515801.568202
corr_True,515801.568239
trial_24_end,515801.5682455
main_block_0_trial_25_on,515801.5682664
resp_False,515804.5818598
corr_True,515804.5818935
trial_25_end,515804.5819004
main_block_0_trial_26_on,515804.5819214
resp_True,515807.0163136
corr_True,515807.01635
rt_0.426,515807.0163604
trial_26_end,515807.0163654
main_block_0_trial_27_on,515807.0164023
resp_False,515810.024204
corr_True,515810.0242438
trial_27_end,515810.0242506
main_block_0_trial_28_on,515810.0242746
resp_True,515812.4222694
corr_True,515812.4223051
rt_0.390,515812.4223197
