marker,timestamp
main_block_0_start,525183.7600219
"sequence_S,A,P,T,X,H,B,S,H,S,S,T,Z,B,V,R,I,I,G,S,A,W,S,S,O,S,S,S,S,S,J,N,Z,E,S,Z,V,Y,H,I,S,A,S,X,K,L,G,S",525183.7600971
"targets_0,7,9,10,19,22,23,25,26,27,28,29,34,40,42,47",525183.7601335
main_block_0_trial_0_on,525183.7788432
resp_True,525186.3148204
corr_True,525186.3148703
rt_0.510,525186.3148852
trial_0_end,525186.3148943
main_block_0_trial_1_on,525186.314944
resp_False,525189.3350787
corr_True,525189.3351166
trial_1_end,525189.335123
main_block_0_trial_2_on,525189.3351417
resp_False,525192.3525416
corr_True,525192.3525827
trial_2_end,525192.3525897
main_block_0_trial_3_on,525192.3526109
resp_False,525195.373091
corr_True,525195.3731275
trial_3_end,525195.3731348
main_block_0_trial_4_on,525195.3731543
resp_False,525198.3938148
corr_True,525198.3938682
trial_4_end,525198.3938797
main_block_0_trial_5_on,525198.3939238
resp_False,525201.4146263
corr_True,525201.4146655
trial_5_end,525201.4146724
main_block_0_trial_6_on,525201.4146955
resp_False,525204.434933
corr_True,525204.4349726
trial_6_end,525204.4349788
main_block_0_trial_7_on,525204.434999
resp_True,525206.8759208
corr_True,525206.8759646
rt_0.428,525206.8759766
trial_7_end,525206.8759853
main_block_0_trial_8_on,525206.8760307
resp_False,525209.8893161
corr_True,525209.8893532
trial_8_end,525209.8893601
main_block_0_trial_9_on,525209.8893802
resp_True,525212.4520417
corr_True,525212.4520818
rt_0.551,525212.4520943
trial_9_end,525212.4521028
main_block_0_trial_10_on,525212.4521528
resp_True,525214.925999
corr_True,525214.9260436
rt_0.467,525214.926058
trial_10_end,525214.9260794
main_block_0_trial_11_on,525214.9261314
resp_False,525217.9417751
corr_True,525217.9418128
trial_11_end,525217.9418192
main_block_0_trial_12_on,525217.9418399
resp_False,525220.9609241
corr_True,525220.9609725
trial_12_end,525220.9609795
main_block_0_trial_13_on,525220.961002
resp_False,525223.9760642
corr_True,525223.9761041
trial_13_end,525223.9761122
main_block_0_trial_14_on,525223.9761344
resp_False,525226.9975985
corr_True,525226.99764
trial_14_end,525226.9976473
main_block_0_trial_15_on,525226.9976682
resp_False,525230.0196179
corr_True,525230.0196553
trial_15_end,525230.0196617
main_block_0_trial_16_on,525230.0196806
resp_False,525233.0385144
corr_True,525233.0385548
trial_16_end,525233.0385615
main_block_0_trial_17_on,525233.0385806
resp_True,525235.7150991
corr_False,525235.7151648
rt_0.668,525235.7151835
trial_17_end,525235.7151947
main_block_0_trial_18_on,525235.7152726
resp_False,525238.740545
corr_True,525238.7405863
trial_18_end,525238.740593
main_block_0_trial_19_on,525238.7406142
resp_True,525241.1452073
corr_True,525241.145249
rt_0.391,525241.1452588
trial_19_end,525241.1452648
main_block_0_trial_20_on,525241.145302
resp_False,525244.156894
corr_True,525244.1569374
trial_20_end,525244.1569447
main_block_0_trial_21_on,525244.1569651
resp_False,525247.1854099
corr_True,525247.1854526
trial_21_end,525247.1854595
main_block_0_trial_22_on,525247.1854815
resp_True,525249.6006703
corr_True,525249.6007027
rt_0.402,525249.6007124
trial_22_end,525249.600718
main_block_0_trial_23_on,525249.6007662
resp_True,525251.993898
corr_True,525251.9939472
rt_0.384,525251.9939621
trial_23_end,525251.9939721
main_block_0_trial_24_on,525251.9940323
resp_False,525255.0156609
corr_True,525255.0157031
