marker,timestamp
main_block_0_start,522041.4771222
"sequence_M,N,F,L,P,D,D,W,M,M,D,M,M,M,R,M,W,M,M,M,M,R,H,W,W,P,W,N,O,Q,M,M,M,S,Z,C,Y,R,G,M,J,Y,M,E,J,L,R,C",522041.4771873
"targets_0,8,9,11,12,13,15,17,18,19,20,30,31,32,39,42",522041.4772168
main_block_0_trial_0_on,522041.4865414
resp_True,522044.035238
corr_True,522044.0352674
rt_0.534,522044.0352744
trial_0_end,522044.0352781
main_block_0_trial_1_on,522044.0353095
resp_False,522047.0463063
corr_True,522047.0463462
trial_1_end,522047.0463528
main_block_0_trial_2_on,522047.0463724
resp_False,522050.056122
corr_True,522050.056154
trial_2_end,522050.0561588
main_block_0_trial_3_on,522050.0561757
resp_False,522053.0678651
corr_True,522053.0679005
trial_3_end,522053.0679056
main_block_0_trial_4_on,522053.067924
resp_False,522056.0790764
corr_True,522056.0791118
trial_4_end,522056.0791184
main_block_0_trial_5_on,522056.079135
resp_False,522059.0903592
corr_True,522059.090394
trial_5_end,522059.0903991
main_block_0_trial_6_on,522059.0904147
resp_False,522062.0963808
corr_True,522062.0964187
trial_6_end,522062.0964246
main_block_0_trial_7_on,522062.0964404
resp_False,522065.109623
corr_True,522065.1096571
trial_7_end,522065.1096624
main_block_0_trial_8_on,522065.1096778
resp_True,522067.6306958
corr_True,522067.6307272
rt_0.513,522067.6307349
trial_8_end,522067.6307408
main_block_0_trial_9_on,522067.6307756
resp_True,522070.1864855
corr_True,522070.1865139
rt_0.549,522070.186521
trial_9_end,522070.1865251
main_block_0_trial_10_on,522070.1865512
resp_False,522073.1940503
corr_True,522073.1940887
trial_10_end,522073.1940947
main_block_0_trial_11_on,522073.1941126
resp_True,522075.7092043
corr_True,522075.7092355
rt_0.506,522075.7092429
trial_11_end,522075.7092467
main_block_0_trial_12_on,522075.7092798
resp_True,522078.1828741
corr_True,522078.1829036
rt_0.467,522078.18291
trial_12_end,522078.1829152
main_block_0_trial_13_on,522078.1829394
resp_True,522080.628303
corr_True,522080.6283339
rt_0.440,522080.6283408
trial_13_end,522080.6283442
main_block_0_trial_14_on,522080.6283708
resp_False,522083.6414347
corr_True,522083.6414638
trial_14_end,522083.6414688
main_block_0_trial_15_on,522083.641484
resp_True,522086.3892589
corr_True,522086.389312
rt_0.739,522086.389319
trial_15_end,522086.3893258
main_block_0_trial_16_on,522086.3893557
resp_False,522089.3984016
corr_True,522089.3984355
trial_16_end,522089.3984407
main_block_0_trial_17_on,522089.3984567
resp_True,522091.8844307
corr_True,522091.8844601
rt_0.479,522091.8844688
trial_17_end,522091.8844751
main_block_0_trial_18_on,522091.8845309
resp_True,522094.3409476
corr_True,522094.340974
rt_0.450,522094.3409813
trial_18_end,522094.3409852
main_block_0_trial_19_on,522094.341037
resp_True,522096.746984
corr_True,522096.7470147
rt_0.401,522096.7470219
trial_19_end,522096.7470267
main_block_0_trial_20_on,522096.7470727
resp_True,522099.1646494
corr_True,522099.1646793
rt_0.411,522099.1646861
trial_20_end,522099.1646899
main_block_0_trial_21_on,522099.1647165
resp_False,522102.1724959
corr_True,522102.1725282
trial_21_end,522102.1725339
main_block_0_trial_22_on,522102.1725504
resp_False,522105.1843204
corr_True,522105.1843576
trial_22_end,522105.1843632
main_block_0_trial_23_on,522105.18438
resp_False,522108.1924698
corr_True,522108.1925022
trial_23_end,522108.1925075
main_block_0_trial_24_on,522108.1925249
resp_False,522111.1984458
corr_True,522111.1984849
trial_24_end,522111.1984908
main_block_0_trial_25_on,522111.1985094
resp_False,522114.2066376
corr_True,522114.2066702
trial_25_end,522114.2066759
main_block_0_trial_26_on,522114.2066917
resp_False,522117.2147418
corr_True,522117.2147782
trial_26_end,522117.2147836
main_block_0_trial_27_on,522117.2148002
resp_False,522120.2235746
corr_True,522120.2236049
trial_27_end,522120.2236102
main_block_0_trial_28_on,522120.2236266
resp_False,522123.2353167
corr_True,522123.2353507
trial_28_end,522123.2353607
main_block_0_trial_29_on,522123.2353754
resp_False,522126.2458817
corr_True,522126.245913
trial_29_end,522126.245922
main_block_0_trial_30_on,522126.2459376
resp_True,522128.7132335
corr_True,522128.7132643
rt_0.458,522128.7132722
trial_30_end,522128.7132763
main_block_0_trial_31_on,522128.7133057
resp_True,522131.1062424
corr_True,522131.1062721
rt_0.387,522131.1062794
trial_31_end,522131.106283
main_block_0_trial_32_on,522131.1063088
resp_True,522133.5392449
corr_True,522133.5392728
rt_0.425,522133.539279
trial_32_end,522133.5392829
main_block_0_trial_33_on,522133.5393095
resp_False,522136.549496
corr_True,522136.5495304
trial_33_end,522136.5495354
main_block_0_trial_34_on,522136.5495506
resp_False,522139.5610585
corr_True,522139.5610918
trial_34_end,522139.5610967
main_block_0_trial_35_on,522139.5611128
resp_False,522142.5733512
corr_True,522142.5733863
trial_35_end,522142.5733911
main_block_0_trial_36_on,522142.5734094
resp_False,522145.5852184
corr_True,522145.5852561
trial_36_end,522145.5852612
main_block_0_trial_37_on,522145.5852772
resp_False,522148.593232
corr_True,522148.5932662
trial_37_end,522148.5932718
main_block_0_trial_38_on,522148.5932881
resp_False,522151.6052633
corr_True,522151.6052975
trial_38_end,522151.6053027
main_block_0_trial_39_on,522151.605318
resp_True,522154.0262211
corr_True,522154.0262534
rt_0.413,522154.0262607
trial_39_end,522154.0262646
main_block_0_trial_40_on,522154.0262924
resp_False,522157.0348874
corr_True,522157.0349414
trial_40_end,522157.034947
main_block_0_trial_41_on,522157.0349647
resp_False,522160.0434817
corr_True,522160.0435158
trial_41_end,522160.043521
main_block_0_trial_42_on,522160.0435375
resp_True,522162.4473849
corr_True,522162.4474142
rt_0.395,522162.4474208
trial_42_end,522162.447425
main_block_0_trial_43_on,522162.4474515
resp_False,522165.4589297
corr_True,522165.4589628
trial_43_end,522165.4589686
main_block_0_trial_44_on,522165.458984
resp_False,522168.4676255
corr_True,522168.4676578
trial_44_end,522168.4676634
main_block_0_trial_45_on,522168.4676779
resp_False,522171.4751203
corr_True,522171.4751565
trial_45_end,522171.4751645
main_block_0_trial_46_on,522171.4751819
resp_False,522174.4836021
corr_True,522174.4836383
trial_46_end,522174.483644
main_block_0_trial_47_on,522174.4836611
resp_False,522177.4928964
corr_True,522177.4929336
trial_47_end,522177.4929392
main_block_0_end,522177.4929451
main_block_0_accuracy_1.00,522177.4929534
practice_count_1,522187.2353909
practice_block_1_start,522195.2416782
"sequence_L,M,W,G,M,S,S,K,L,H,H,M,M,M,M,M,N,A,R,V",522195.2417061
"targets_6,10,12,13,14,15",522195.2417142
practice_block_1_trial_0_on,522195.2479085
resp_False,522198.257785
corr_True,522198.2578202
trial_0_end,522198.7623571
practice_block_1_trial_1_on,522198.7624341
resp_True,522201.6119068
corr_False,522201.6119382
rt_0.841,522201.6119448
trial_1_end,522202.1160362
practice_block_1_trial_2_on,522202.1161678
resp_False,522205.1246017
corr_True,522205.1246366
trial_2_end,522205.6289402
practice_block_1_trial_3_on,522205.629053
resp_False,522208.6383681
corr_True,522208.6384044
trial_3_end,522209.1432984
practice_block_1_trial_4_on,522209.1434269
resp_False,522212.1520207
corr_True,522212.1520512
trial_4_end,522212.6560702
practice_block_1_trial_5_on,522212.6562
resp_False,522215.6656593
corr_True,522215.6656936
trial_5_end,522216.1701239
practice_block_1_trial_6_on,522216.1702335
resp_False,522219.1764964
corr_False,522219.1765291
trial_6_end,522219.6818331
practice_block_1_trial_7_on,522219.6819512
resp_False,522222.6944886
corr_True,522222.6945219
trial_7_end,522223.1987163
practice_block_1_trial_8_on,522223.1988377
resp_False,522226.2087048
corr_True,522226.2087369
trial_8_end,522226.7131021
practice_block_1_trial_9_on,522226.7132256
resp_False,522229.7218633
corr_True,522229.7218976
trial_9_end,522230.226312
practice_block_1_trial_10_on,522230.2264771
resp_False,522233.2349138
corr_False,522233.2349461
trial_10_end,522233.739208
practice_block_1_trial_11_on,522233.7393479
resp_False,522236.7492881
corr_True,522236.7493216
trial_11_end,522237.2541897
practice_block_1_trial_12_on,522237.2543186
resp_True,522239.8753872
corr_True,522239.8754138
rt_0.614,522239.8754202
trial_12_end,522240.3789248
practice_block_1_trial_13_on,522240.3790408
resp_True,522243.0447621
corr_True,522243.0447914
rt_0.659,522243.0447979
trial_13_end,522243.5495795
practice_block_1_trial_14_on,522243.5497217
resp_True,522246.0160746
corr_True,522246.0161047
rt_0.460,522246.0161111
trial_14_end,522246.5199968
practice_block_1_trial_15_on,522246.520114
resp_True,522248.9753059
corr_True,522248.975336
rt_0.447,522248.9753423
trial_15_end,522249.4795895
practice_block_1_trial_16_on,522249.4797074
resp_False,522252.4889549
corr_True,522252.4889897
trial_16_end,522252.9935537
practice_block_1_trial_17_on,522252.9936247
resp_False,522256.0048911
corr_True,522256.0049211
trial_17_end,522256.5099428
practice_block_1_trial_18_on,522256.5100635
resp_False,522259.5203627
corr_True,522259.5203966
trial_18_end,522260.0248022
practice_block_1_trial_19_on,522260.024948
resp_False,522263.0385308
corr_True,522263.0385653
trial_19_end,522263.5427668
practice_block_1_end,522263.542839
practice_block_1_accuracy_0.85,522263.5428637
practice_count_2,522272.6373371
practice_block_2_start,522274.0688198
"sequence_X,B,V,D,P,P,P,P,P,P,P,T,E,K,T,T,T,S,D,E",522274.0688494
"targets_6,7,8,9,10,16",522274.0688585
practice_block_2_trial_0_on,522274.0735059
resp_False,522277.0859691
corr_True,522277.0860086
trial_0_end,522277.591559
practice_block_2_trial_1_on,522277.5916741
