marker,timestamp
main_block_0_start,604992.3505125
"sequence_Y,E,Y,H,Y,G,X,Y,Y,A,J,D,E,Z,O,F,Y,F,G,S,Q,K,Y,P,T,K,Y,Y,Y,Y,T,C,Y,J,E,Y,Y,Y,X,A,Y,O,G,Q,H,P,T,F",604992.3505922
"targets_0,2,4,7,8,16,22,26,27,28,29,32,35,36,37,40",604992.3506406
main_block_0_trial_0_on,604992.3718633
resp_True,604994.9723197
corr_True,604994.9723581
rt_0.575,604994.972368
trial_0_end,604994.9723735
main_block_0_trial_1_on,604994.9724105
resp_False,604997.9885913
corr_True,604997.9886352
trial_1_end,604997.988642
main_block_0_trial_2_on,604997.9887717
resp_True,605000.5961099
corr_True,605000.5961687
rt_0.596,605000.5961884
trial_2_end,605000.5961963
main_block_0_trial_3_on,605000.5963082
resp_False,605003.6175635
corr_True,605003.6176041
trial_3_end,605003.6176111
main_block_0_trial_4_on,605003.6176316
resp_False,605006.6304421
corr_False,605006.6304812
trial_4_end,605006.6304879
main_block_0_trial_5_on,605006.6305071
resp_True,605008.6504754
corr_False,605008.6505227
rt_0.000,605008.6505371
trial_5_end,605008.6505461
main_block_0_trial_6_on,605008.6505873
resp_False,605011.6822935
corr_True,605011.6823338
trial_6_end,605011.6823403
main_block_0_trial_7_on,605011.6823601
resp_True,605014.1961676
corr_True,605014.1962146
rt_0.500,605014.1962276
trial_7_end,605014.1962358
main_block_0_trial_8_on,605014.1962856
resp_True,605016.6484447
corr_True,605016.6484827
rt_0.445,605016.6484922
trial_8_end,605016.6484982
main_block_0_trial_9_on,605016.6485366
resp_False,605019.6677448
corr_True,605019.6678094
trial_9_end,605019.6678176
main_block_0_trial_10_on,605019.6678394
resp_False,605022.6865692
corr_True,605022.686613
trial_10_end,605022.6866198
main_block_0_trial_11_on,605022.68664
resp_False,605025.7079234
corr_True,605025.7079639
trial_11_end,605025.7079703
main_block_0_trial_12_on,605025.7079891
resp_False,605028.7207896
corr_True,605028.7208357
trial_12_end,605028.7208437
main_block_0_trial_13_on,605028.7208641
resp_False,605031.7434288
corr_True,605031.7434693
trial_13_end,605031.7434761
main_block_0_trial_14_on,605031.7434968
resp_False,605034.7627844
corr_True,605034.7628244
trial_14_end,605034.7628313
main_block_0_trial_15_on,605034.7628513
resp_False,605037.7839634
corr_True,605037.7840035
trial_15_end,605037.7840107
main_block_0_trial_16_on,605037.7840314
resp_True,605040.5605285
corr_True,605040.5605682
rt_0.765,605040.5605813
trial_16_end,605040.5605897
main_block_0_trial_17_on,605040.5606392
resp_False,605043.5728212
corr_True,605043.572863
trial_17_end,605043.5728703
main_block_0_trial_18_on,605043.5728909
resp_True,605046.0480568
corr_False,605046.0481094
rt_0.463,605046.0481282
trial_18_end,605046.0481408
main_block_0_trial_19_on,605046.048212
resp_False,605049.0677261
corr_True,605049.0677639
trial_19_end,605049.0677728
main_block_0_trial_20_on,605049.0677938
resp_False,605052.0883027
corr_True,605052.0883441
trial_20_end,605052.088351
main_block_0_trial_21_on,605052.0883719
resp_False,605055.1089619
corr_True,605055.1089998
trial_21_end,605055.1090087
main_block_0_trial_22_on,605055.1090537
resp_True,605057.5159355
corr_True,605057.5159916
rt_0.394,605057.5160094
trial_22_end,605057.5160218
