marker,timestamp
main_block_0_start,607381.130113
"sequence_V,H,Z,R,N,O,W,F,H,W,H,J,C,U,P,V,J,V,V,V,V,V,V,V,X,X,T,F,Z,L,V,B,R,Q,V,V,V,Q,A,B,N,H,V,V,V,H,J,Q",607381.1301861
"targets_0,15,17,18,19,20,21,22,23,30,34,35,36,42,43,44",607381.1302206
main_block_0_trial_0_on,607381.1526372
resp_True,607383.8230563
corr_True,607383.8230939
rt_0.644,607383.8231084
trial_0_end,607383.8231179
main_block_0_trial_1_on,607383.8231738
resp_False,607386.8448061
corr_True,607386.8448554
trial_1_end,607386.8448624
main_block_0_trial_2_on,607386.8448848
resp_False,607389.8667876
corr_True,607389.8668569
trial_2_end,607389.8668647
main_block_0_trial_3_on,607389.8668902
resp_False,607392.8873691
corr_True,607392.8874087
trial_3_end,607392.8874163
main_block_0_trial_4_on,607392.8874375
resp_False,607395.9050044
corr_True,607395.9050429
trial_4_end,607395.9050519
main_block_0_trial_5_on,607395.9050737
resp_False,607398.9269026
corr_True,607398.9269445
trial_5_end,607398.9269514
main_block_0_trial_6_on,607398.9269739
resp_False,607401.9490338
corr_True,607401.9491009
trial_6_end,607401.9491078
main_block_0_trial_7_on,607401.9491283
resp_False,607404.9705569
corr_True,607404.9705959
trial_7_end,607404.9706027
main_block_0_trial_8_on,607404.9706231
resp_False,607407.9824886
corr_True,607407.9825275
trial_8_end,607407.982534
main_block_0_trial_9_on,607407.9825546
resp_False,607410.99412
corr_True,607410.9941591
trial_9_end,607410.9941658
main_block_0_trial_10_on,607410.9941912
resp_False,607414.0076516
corr_True,607414.0076879
trial_10_end,607414.0076952
main_block_0_trial_11_on,607414.0077144
resp_False,607417.0276611
corr_True,607417.0277011
trial_11_end,607417.0277227
main_block_0_trial_12_on,607417.0277439
resp_False,607420.0483217
corr_True,607420.0483591
trial_12_end,607420.0483678
main_block_0_trial_13_on,607420.0484237
resp_False,607423.0681664
corr_True,607423.0682055
trial_13_end,607423.0682143
main_block_0_trial_14_on,607423.0682357
resp_False,607426.0909952
corr_True,607426.091038
trial_14_end,607426.0910452
main_block_0_trial_15_on,607426.0910675
resp_True,607428.785285
corr_True,607428.7853348
rt_0.681,607428.7853507
trial_15_end,607428.7853638
main_block_0_trial_16_on,607428.7854153
resp_False,607431.7991482
corr_True,607431.7991836
trial_16_end,607431.79919
main_block_0_trial_17_on,607431.7992113
resp_True,607434.4377676
corr_True,607434.4378053
rt_0.626,607434.4378193
trial_17_end,607434.4378279
main_block_0_trial_18_on,607434.4379128
resp_True,607437.0098809
corr_True,607437.0099158
rt_0.565,607437.0099245
trial_18_end,607437.0099297
main_block_0_trial_19_on,607437.0099626
resp_True,607439.5028294
corr_True,607439.5028633
rt_0.485,607439.5028756
trial_19_end,607439.5028832
main_block_0_trial_20_on,607439.5029295
resp_True,607442.0370632
corr_True,607442.0370984
rt_0.527,607442.0371106
trial_20_end,607442.0371185
main_block_0_trial_21_on,607442.037165
resp_True,607444.4129945
corr_True,607444.4130652
rt_0.368,607444.4130798
trial_21_end,607444.4130884
main_block_0_trial_22_on,607444.4131421
resp_True,607446.7224461
corr_True,607446.7224864
rt_0.302,607446.7225039
trial_22_end,607446.7225136
main_block_0_trial_23_on,607446.7225805
resp_True,607449.0682037
corr_True,607449.0682392
rt_0.338,607449.0682511
trial_23_end,607449.0682608
main_block_0_trial_24_on,607449.0683065
resp_False,607452.0911965
corr_True,607452.0912335
trial_24_end,607452.0912401
main_block_0_trial_25_on,607452.0912593
resp_False,607455.0993165
corr_True,607455.0993922
trial_25_end,607455.0994016
main_block_0_trial_26_on,607455.0994249
resp_False,607458.1158466
corr_True,607458.1158875
trial_26_end,607458.1158941
main_block_0_trial_27_on,607458.1159142
resp_False,607461.1284428
corr_True,607461.1284834
trial_27_end,607461.1284909
main_block_0_trial_28_on,607461.1285123
resp_False,607464.140453
corr_True,607464.1404949
trial_28_end,607464.1405048
main_block_0_trial_29_on,607464.1405278
resp_False,607467.1629185
corr_True,607467.1629604
trial_29_end,607467.1629678
