marker,timestamp
main_block_0_start,618169.7683717
"sequence_E,L,X,A,H,R,E,W,H,H,H,B,H,M,H,I,H,K,S,S,J,H,M,M,S,D,H,A,R,O,H,O,M,X,Z,H,H,H,A,H,T,Y,H,T,P,H,U,V",618169.7684643
"targets_4,8,9,10,12,14,16,21,26,30,35,36,37,39,42,45",618169.7684996
main_block_0_trial_0_on,618169.7893786
resp_False,618172.8137445
corr_True,618172.8138159
trial_0_end,618172.813823
main_block_0_trial_1_on,618172.8138425
resp_False,618175.8328324
corr_True,618175.8328691
trial_1_end,618175.8328759
main_block_0_trial_2_on,618175.832897
resp_False,618178.8551772
corr_True,618178.8552146
trial_2_end,618178.8552221
main_block_0_trial_3_on,618178.8552493
resp_False,618181.8763982
corr_True,618181.8764334
trial_3_end,618181.87644
main_block_0_trial_4_on,618181.8764604
resp_True,618184.3295925
corr_True,618184.3296262
rt_0.433,618184.3296352
trial_4_end,618184.3296403
main_block_0_trial_5_on,618184.3296703
resp_False,618187.3465853
corr_True,618187.3466239
trial_5_end,618187.3466307
main_block_0_trial_6_on,618187.3466511
resp_False,618190.3589576
corr_True,618190.358994
trial_6_end,618190.3590005
main_block_0_trial_7_on,618190.3590214
resp_False,618193.3830295
corr_True,618193.3830673
trial_7_end,618193.3830737
main_block_0_trial_8_on,618193.3830947
resp_True,618195.9114634
corr_True,618195.911501
rt_0.516,618195.9115106
trial_8_end,618195.9115158
main_block_0_trial_9_on,618195.9115451
resp_True,618198.4732426
corr_True,618198.4732799
rt_0.554,618198.473289
trial_9_end,618198.4732945
main_block_0_trial_10_on,618198.4733246
resp_True,618200.9980217
corr_True,618200.998085
rt_0.517,618200.9981055
trial_10_end,618200.9981179
main_block_0_trial_11_on,618200.9981908
resp_False,618204.0182271
corr_True,618204.0182833
trial_11_end,618204.0183044
main_block_0_trial_12_on,618204.0183427
resp_True,618206.4837552
corr_True,618206.483818
rt_0.452,618206.4838262
trial_12_end,618206.4838319
main_block_0_trial_13_on,618206.4838592
resp_False,618209.5035181
corr_True,618209.5035551
trial_13_end,618209.5035626
main_block_0_trial_14_on,618209.5035909
resp_True,618211.9776541
corr_True,618211.9777053
rt_0.462,618211.9777165
trial_14_end,618211.9777279
main_block_0_trial_15_on,618211.9777824
resp_False,618214.993073
corr_True,618214.9931244
trial_15_end,618214.9931358
main_block_0_trial_16_on,618214.9931822
resp_True,618217.476615
corr_True,618217.4766559
rt_0.471,618217.4766677
trial_16_end,618217.476675
main_block_0_trial_17_on,618217.476744
resp_False,618220.4974689
corr_True,618220.4975068
trial_17_end,618220.4975134
main_block_0_trial_18_on,618220.4975345
resp_False,618223.5130543
corr_True,618223.5130898
trial_18_end,618223.5130984
main_block_0_trial_19_on,618223.5131203
resp_False,618226.5209367
corr_True,618226.5209887
trial_19_end,618226.521007
main_block_0_trial_20_on,618226.5210421
resp_False,618229.5358494
corr_True,618229.5358881
trial_20_end,618229.5358952
main_block_0_trial_21_on,618229.5359158
resp_True,618231.9542172
corr_True,618231.9542512
rt_0.406,618231.9542611
trial_21_end,618231.954268
main_block_0_trial_22_on,618231.9543026
resp_False,618234.965833
corr_True,618234.9658702
trial_22_end,618234.9658768
main_block_0_trial_23_on,618234.9658976
resp_False,618237.9740358
corr_True,618237.9740703
trial_23_end,618237.9740766
main_block_0_trial_24_on,618237.9741002
resp_False,618240.986635
corr_True,618240.9866746
trial_24_end,618240.9866822
main_block_0_trial_25_on,618240.9867028
resp_False,618244.0075634
corr_True,618244.0076014
trial_25_end,618244.0076081
main_block_0_trial_26_on,618244.0076815
resp_True,618246.4335722
corr_True,618246.433609
rt_0.414,618246.4336212
trial_26_end,618246.4336267
main_block_0_trial_27_on,618246.4336627
resp_False,618249.4466728
corr_True,618249.4467088
trial_27_end,618249.4467154
main_block_0_trial_28_on,618249.446735
resp_False,618252.4578156
corr_True,618252.4578522
trial_28_end,618252.4578616
main_block_0_trial_29_on,618252.4578875
resp_False,618255.4784444
corr_True,618255.4784806
trial_29_end,618255.4784872
main_block_0_trial_30_on,618255.4785089
resp_True,618258.1571572
corr_True,618258.1571951
rt_0.666,618258.1572083
trial_30_end,618258.1572162
main_block_0_trial_31_on,618258.1572519
resp_False,618261.1701969
corr_True,618261.1702384
trial_31_end,618261.1702453
main_block_0_trial_32_on,618261.170266
resp_False,618264.1816886
corr_True,618264.1817247
trial_32_end,618264.181731
main_block_0_trial_33_on,618264.1817511
resp_False,618267.1922425
corr_True,618267.1922805
trial_33_end,618267.1922871
main_block_0_trial_34_on,618267.1923103
resp_False,618270.2206948
corr_True,618270.2207351
trial_34_end,618270.2207463
main_block_0_trial_35_on,618270.220768
resp_True,618272.7288484
corr_True,618272.7288964
rt_0.496,618272.7289098
trial_35_end,618272.7289187
main_block_0_trial_36_on,618272.7289681
resp_True,618275.3814736
corr_True,618275.3815368
rt_0.644,618275.381549
trial_36_end,618275.3815565
main_block_0_trial_37_on,618275.3816421
resp_True,618277.8365363
corr_True,618277.8365764
rt_0.445,618277.8365876
trial_37_end,618277.8365947
main_block_0_trial_38_on,618277.8366421
resp_False,618280.8497206
corr_True,618280.8497922
trial_38_end,618280.8498103
main_block_0_trial_39_on,618280.8498688
resp_True,618283.2972701
corr_True,618283.2973229
rt_0.436,618283.2973333
trial_39_end,618283.2973394
main_block_0_trial_40_on,618283.2973788
resp_False,618286.3171214
corr_True,618286.3171614
trial_40_end,618286.3171692
main_block_0_trial_41_on,618286.3171903
resp_False,618289.340318
corr_True,618289.3403825
trial_41_end,618289.340389
main_block_0_trial_42_on,618289.34041
resp_True,618291.7498217
corr_True,618291.7498693
rt_0.397,618291.7498859
trial_42_end,618291.7498922
main_block_0_trial_43_on,618291.7499285
resp_False,618294.7642903
corr_True,618294.7643552
trial_43_end,618294.7643619
main_block_0_trial_44_on,618294.7643816
resp_False,618297.789174
corr_True,618297.7892108
trial_44_end,618297.7892182
main_block_0_trial_45_on,618297.7892391
resp_True,618300.2498025
corr_True,618300.2498543
rt_0.448,618300.2498628
trial_45_end,618300.2498693
main_block_0_trial_46_on,618300.2498991
resp_False,618303.2652025
corr_True,618303.2652383
trial_46_end,618303.2652445
main_block_0_trial_47_on,618303.265263
resp_False,618306.2860812
corr_True,618306.2861197
trial_47_end,618306.2861269
main_block_0_end,618306.2861351
main_block_0_accuracy_1.00,618306.2861465
main_block_1_start,618311.6964265
"sequence_M,M,U,U,G,W,W,G,A,V,D,D,R,L,L,L,K,K,S,O,O,Q,Q,L,C,E,G,P,A,D,D,D,R,H,Q,W,I,I,Y,Q,Z,X,I,R,W,W,W,W",618311.6964588
"targets_1,3,6,11,14,15,17,20,22,30,31,37,45,46,47",618311.6964732
main_block_1_trial_0_on,618311.7050607
resp_False,618314.7163477
corr_True,618314.7163861
trial_0_end,618314.7163927
main_block_1_trial_1_on,618314.7164129
resp_True,618317.2132894
corr_True,618317.2133315
rt_0.490,618317.2133411
trial_1_end,618317.2133469
main_block_1_trial_2_on,618317.2133835
resp_False,618320.2259979
corr_True,618320.2260351
trial_2_end,618320.2260418
main_block_1_trial_3_on,618320.2260641
resp_True,618322.5828967
corr_True,618322.5829444
rt_0.349,618322.5829613
trial_3_end,618322.5829738
main_block_1_trial_4_on,618322.5830368
resp_False,618325.6023212
corr_True,618325.6023619
trial_4_end,618325.6023692
main_block_1_trial_5_on,618325.6023923
resp_False,618328.614862
corr_True,618328.6148988
trial_5_end,618328.6149054
main_block_1_trial_6_on,618328.6149235
resp_True,618330.9724632
corr_True,618330.9724977
rt_0.349,618330.9725097
trial_6_end,618330.9725168
main_block_1_trial_7_on,618330.9725479
resp_False,618333.9838192
corr_True,618333.9838545
trial_7_end,618333.9838612
main_block_1_trial_8_on,618333.9838826
resp_False,618336.9953262
corr_True,618336.995366
trial_8_end,618336.9953726
main_block_1_trial_9_on,618336.9953938
resp_False,618340.0072662
corr_True,618340.0073349
trial_9_end,618340.0073429
main_block_1_trial_10_on,618340.0073668
resp_False,618343.0193378
corr_True,618343.0193761
trial_10_end,618343.0193823
main_block_1_trial_11_on,618343.0194025
resp_False,618346.0265427
corr_False,618346.0265772
trial_11_end,618346.0265834
main_block_1_trial_12_on,618346.0266045
resp_False,618349.0395735
corr_True,618349.0396123
trial_12_end,618349.0396212
main_block_1_trial_13_on,618349.0396426
resp_False,618352.0530369
corr_True,618352.0530756
trial_13_end,618352.0530825
main_block_1_trial_14_on,618352.0531039
resp_True,618354.9193415
corr_True,618354.9193845
