marker,timestamp
main_block_0_start,615861.5321349
"sequence_U,O,O,G,G,P,G,G,H,U,R,G,N,D,I,I,G,A,G,S,X,I,B,V,P,R,G,G,E,W,G,W,O,B,P,G,Z,N,T,A,G,G,C,G,O,G,G,M",615861.5321759
"targets_3,4,6,7,11,16,18,26,27,30,35,40,41,43,45,46",615861.5321979
main_block_0_trial_0_on,615861.5524549
resp_False,615864.56824
corr_True,615864.5683055
trial_0_end,615864.568313
main_block_0_trial_1_on,615864.5683574
resp_False,615867.5831295
corr_True,615867.583172
trial_1_end,615867.5831796
main_block_0_trial_2_on,615867.5832033
resp_False,615870.5876619
corr_True,615870.5876972
trial_2_end,615870.5877038
main_block_0_trial_3_on,615870.5877245
resp_True,615873.0670076
corr_True,615873.0670423
rt_0.466,615873.0670533
trial_3_end,615873.0670592
main_block_0_trial_4_on,615873.0670938
resp_True,615875.7159971
corr_True,615875.7160375
rt_0.644,615875.7160584
trial_4_end,615875.7160693
main_block_0_trial_5_on,615875.7161326
resp_False,615878.7291158
corr_True,615878.7291557
trial_5_end,615878.7291646
main_block_0_trial_6_on,615878.7291881
resp_True,615881.246869
corr_True,615881.2469131
rt_0.508,615881.2469251
trial_6_end,615881.2469318
main_block_0_trial_7_on,615881.2469759
resp_True,615883.7309378
corr_True,615883.7309755
rt_0.479,615883.730986
trial_7_end,615883.7309919
main_block_0_trial_8_on,615883.7310245
resp_False,615886.7447926
corr_True,615886.7448287
trial_8_end,615886.7448354
main_block_0_trial_9_on,615886.744857
resp_False,615889.754065
corr_True,615889.7541094
trial_9_end,615889.7541167
main_block_0_trial_10_on,615889.7541394
resp_False,615892.7676403
corr_True,615892.7676909
trial_10_end,615892.7677019
main_block_0_trial_11_on,615892.7677383
resp_True,615895.7401674
corr_True,615895.7402104
rt_0.963,615895.7402211
trial_11_end,615895.740226
main_block_0_trial_12_on,615895.7402657
resp_False,615898.7559373
corr_True,615898.7559786
trial_12_end,615898.7559878
main_block_0_trial_13_on,615898.7560143
resp_False,615901.7674599
corr_True,615901.767499
trial_13_end,615901.7675053
main_block_0_trial_14_on,615901.7675267
resp_False,615904.7788738
corr_True,615904.7789107
trial_14_end,615904.7789177
main_block_0_trial_15_on,615904.7789381
resp_False,615907.7851373
corr_True,615907.785176
trial_15_end,615907.7851826
main_block_0_trial_16_on,615907.7852042
resp_True,615910.1996657
