marker,timestamp
main_block_0_start,624067.1365132
"sequence_H,F,R,A,G,H,H,M,Z,R,K,L,H,I,M,F,N,H,H,N,H,Q,V,G,S,S,H,D,R,H,H,N,H,X,C,C,G,W,O,L,H,H,U,M,H,H,H,K",624067.1365907
"targets_0,5,6,12,17,18,20,26,29,30,32,40,41,44,45,46",624067.1366388
main_block_0_trial_0_on,624067.1626971
resp_True,624069.7344473
corr_True,624069.7344889
rt_0.547,624069.7345041
trial_0_end,624069.7345134
main_block_0_trial_1_on,624069.734569
resp_False,624072.7550579
corr_True,624072.7550984
trial_1_end,624072.7551066
main_block_0_trial_2_on,624072.755126
resp_False,624075.7758728
corr_True,624075.7759146
trial_2_end,624075.7759219
main_block_0_trial_3_on,624075.7759415
resp_False,624078.7973622
corr_True,624078.7974303
trial_3_end,624078.797441
main_block_0_trial_4_on,624078.7974623
resp_False,624081.8171802
corr_True,624081.81722
trial_4_end,624081.8172265
main_block_0_trial_5_on,624081.8172465
resp_True,624084.3478386
corr_True,624084.3478798
rt_0.518,624084.3478923
trial_5_end,624084.3478997
main_block_0_trial_6_on,624084.3479538
resp_True,624086.8475179
corr_True,624086.8475531
rt_0.491,624086.8475657
trial_6_end,624086.8475735
main_block_0_trial_7_on,624086.8476078
resp_False,624089.870562
corr_True,624089.870602
trial_7_end,624089.8706084
main_block_0_trial_8_on,624089.8706271
resp_False,624092.889501
corr_True,624092.8895426
trial_8_end,624092.8895496
main_block_0_trial_9_on,624092.8895709
resp_False,624095.9030336
corr_True,624095.9030738
trial_9_end,624095.9030812
main_block_0_trial_10_on,624095.9031023
resp_False,624098.9205233
corr_True,624098.9205646
trial_10_end,624098.9205719
main_block_0_trial_11_on,624098.9205929
resp_False,624101.94056
corr_True,624101.9406008
trial_11_end,624101.9406078
main_block_0_trial_12_on,624101.940627
resp_True,624104.4432839
corr_True,624104.4433178
rt_0.490,624104.4433273
trial_12_end,624104.443333
main_block_0_trial_13_on,624104.4433679
resp_False,624107.4585205
corr_True,624107.4585628
trial_13_end,624107.4585719
main_block_0_trial_14_on,624107.4585938
resp_False,624110.4709232
corr_True,624110.4709604
trial_14_end,624110.4709678
main_block_0_trial_15_on,624110.4710012
resp_False,624113.483065
corr_True,624113.4831065
trial_15_end,624113.483115
main_block_0_trial_16_on,624113.4831354
resp_False,624116.5052918
corr_True,624116.5053329
trial_16_end,624116.5053401
main_block_0_trial_17_on,624116.5053609
resp_True,624118.8687416
corr_True,624118.868777
rt_0.351,624118.8687923
trial_17_end,624118.8688
main_block_0_trial_18_on,624118.8688406
resp_True,624121.3731685
corr_True,624121.3732136
rt_0.497,624121.3732297
trial_18_end,624121.3732379
main_block_0_trial_19_on,624121.3732891
resp_False,624124.3855803
corr_True,624124.385624
trial_19_end,624124.3856327
main_block_0_trial_20_on,624124.3856605
resp_True,624126.858649
corr_True,624126.8586829
rt_0.461,624126.8586927
trial_20_end,624126.8586983
main_block_0_trial_21_on,624126.8587338
resp_False,624129.8812575
corr_True,624129.8812973
trial_21_end,624129.8813042
main_block_0_trial_22_on,624129.8813245
resp_False,624132.9056974
corr_True,624132.9057651
trial_22_end,624132.9057716
main_block_0_trial_23_on,624132.9057916
resp_False,624135.9174774
corr_True,624135.9175473
trial_23_end,624135.9175543
main_block_0_trial_24_on,624135.917593
resp_False,624138.938933
corr_True,624138.9389762
trial_24_end,624138.9389837
main_block_0_trial_25_on,624138.9390061
resp_False,624141.9463714
corr_True,624141.9464131
trial_25_end,624141.9464198
main_block_0_trial_26_on,624141.9464407
resp_True,624144.3961204
corr_True,624144.3961565
rt_0.437,624144.3961672
trial_26_end,624144.3961732
main_block_0_trial_27_on,624144.3962223
resp_False,624147.4183738
corr_True,624147.4184131
trial_27_end,624147.4184202
main_block_0_trial_28_on,624147.4184401
resp_False,624150.4319071
corr_True,624150.4319456
trial_28_end,624150.4319528
main_block_0_trial_29_on,624150.4319773
resp_True,624152.8792594
corr_True,624152.8792969
rt_0.436,624152.8793203
trial_29_end,624152.8793301
main_block_0_trial_30_on,624152.8793722
resp_True,624155.3280023
corr_True,624155.3280446
rt_0.442,624155.3280556
trial_30_end,624155.3280611
main_block_0_trial_31_on,624155.3280938
resp_False,624158.3394856
corr_True,624158.3395253
trial_31_end,624158.3395329
main_block_0_trial_32_on,624158.3395544
resp_True,624160.8031577
corr_True,624160.8032015
rt_0.450,624160.803228
trial_32_end,624160.8032371
main_block_0_trial_33_on,624160.8033026
resp_False,624163.8252987
corr_True,624163.8253388
trial_33_end,624163.8253501
main_block_0_trial_34_on,624163.8254058
resp_False,624166.84594
corr_True,624166.8459772
trial_34_end,624166.8459866
main_block_0_trial_35_on,624166.8460411
resp_False,624169.8554943
corr_True,624169.8555344
trial_35_end,624169.8555409
main_block_0_trial_36_on,624169.8555601
resp_False,624172.8671953
corr_True,624172.8672616
trial_36_end,624172.8672693
main_block_0_trial_37_on,624172.8672905
resp_False,624175.8892674
corr_True,624175.8893069
trial_37_end,624175.8893159
main_block_0_trial_38_on,624175.8893469
resp_False,624178.9109374
corr_True,624178.9109755
trial_38_end,624178.9109843
main_block_0_trial_39_on,624178.9110391
resp_False,624181.9235417
corr_True,624181.9235816
trial_39_end,624181.9235885
main_block_0_trial_40_on,624181.9236251
resp_True,624184.3149054
corr_True,624184.3149392
rt_0.379,624184.3149518
trial_40_end,624184.314959
main_block_0_trial_41_on,624184.3149964
resp_True,624186.9660785
corr_True,624186.9661137
rt_0.644,624186.9661283
trial_41_end,624186.9661416
main_block_0_trial_42_on,624186.9661951
resp_False,624189.9879469
corr_True,624189.9879895
trial_42_end,624189.9879981
main_block_0_trial_43_on,624189.9880639
resp_False,624193.000763
corr_True,624193.0007982
trial_43_end,624193.0008053
main_block_0_trial_44_on,624193.0008259
resp_True,624195.3936259
corr_True,624195.3936608
rt_0.383,624195.3936697
trial_44_end,624195.393675
main_block_0_trial_45_on,624195.3937081
resp_True,624198.042855
corr_True,624198.0428982
rt_0.641,624198.0429133
trial_45_end,624198.0429237
main_block_0_trial_46_on,624198.0429842
resp_True,624200.4718064
corr_True,624200.4718507
rt_0.421,624200.4718647
trial_46_end,624200.4718726
main_block_0_trial_47_on,624200.4719263
resp_False,624203.4839896
corr_True,624203.4840305
trial_47_end,624203.4840374
main_block_0_end,624203.4840446
main_block_0_accuracy_1.00,624203.484059
main_block_1_start,624210.0289457
"sequence_K,K,V,V,R,B,B,R,R,F,F,X,W,P,N,N,M,H,H,J,P,R,R,A,Z,W,X,X,E,J,Y,A,V,A,F,F,F,S,S,S,H,H,P,O,V,W,H,H",624210.0289927
"targets_1,3,6,8,10,15,18,22,27,35,36,38,39,41,47",624210.0290136
main_block_1_trial_0_on,624210.0382778
resp_False,624213.0516964
corr_True,624213.0517382
trial_0_end,624213.0517467
main_block_1_trial_1_on,624213.051768
resp_True,624215.4633365
corr_True,624215.4633748
rt_0.405,624215.4633894
trial_1_end,624215.4633979
main_block_1_trial_2_on,624215.4634509
resp_False,624218.4766816
corr_True,624218.4767208
trial_2_end,624218.4767276
main_block_1_trial_3_on,624218.4767474
resp_True,624220.9307573
corr_True,624220.9307928
rt_0.447,624220.9308033
trial_3_end,624220.9308083
main_block_1_trial_4_on,624220.9308392
resp_False,624223.9430377
corr_True,624223.9430785
trial_4_end,624223.9430854
main_block_1_trial_5_on,624223.9431051
resp_False,624226.9645636
corr_True,624226.964601
trial_5_end,624226.9646082
main_block_1_trial_6_on,624226.9646305
resp_True,624229.4248423
corr_True,624229.4248778
rt_0.452,624229.4248881
trial_6_end,624229.4248937
main_block_1_trial_7_on,624229.4249267
resp_False,624232.4376492
corr_True,624232.4376905
trial_7_end,624232.4376973
main_block_1_trial_8_on,624232.4377177
resp_True,624234.929633
corr_True,624234.9297143
rt_0.485,624234.9297543
trial_8_end,624234.9297685
main_block_1_trial_9_on,624234.9298263
resp_False,624237.9413523
corr_True,624237.9413914
trial_9_end,624237.9413985
main_block_1_trial_10_on,624237.9414214
resp_True,624240.3486211
corr_True,624240.3486561
rt_0.400,624240.3486684
trial_10_end,624240.3486769
main_block_1_trial_11_on,624240.3487232
resp_False,624243.3609131
corr_True,624243.3609535
trial_11_end,624243.3609601
main_block_1_trial_12_on,624243.3609796
resp_False,624246.3727003
corr_True,624246.3727381
trial_12_end,624246.3727449
main_block_1_trial_13_on,624246.3727653
resp_False,624249.3935374
corr_True,624249.3935775
trial_13_end,624249.3935868
main_block_1_trial_14_on,624249.3936424
resp_False,624252.4076856
corr_True,624252.407724
trial_14_end,624252.407731
main_block_1_trial_15_on,624252.4077522
resp_True,624254.9021634
corr_True,624254.9022078
rt_0.487,624254.9022228
trial_15_end,624254.9022281
main_block_1_trial_16_on,624254.9022657
resp_False,624257.9144364
corr_True,624257.9144773
trial_16_end,624257.9144849
main_block_1_trial_17_on,624257.9145049
resp_False,624260.9267499
corr_True,624260.9267895
trial_17_end,624260.926796
main_block_1_trial_18_on,624260.9268157
resp_True,624263.2759128
corr_True,624263.2759578
rt_0.341,624263.2759677
trial_18_end,624263.2759735
main_block_1_trial_19_on,624263.2760128
resp_False,624266.295201
corr_True,624266.2952673
trial_19_end,624266.2952742
main_block_1_trial_20_on,624266.2952957
resp_False,624269.3075865
corr_True,624269.3076243
trial_20_end,624269.307634
main_block_1_trial_21_on,624269.3076889
resp_False,624272.3198401
corr_True,624272.3198816
trial_21_end,624272.3198929
main_block_1_trial_22_on,624272.3199401
resp_True,624274.6993002
corr_True,624274.6993329
rt_0.370,624274.6993448
trial_22_end,624274.6993521
main_block_1_trial_23_on,624274.6993896
resp_False,624277.712465
corr_True,624277.7125054
trial_23_end,624277.7125127
main_block_1_trial_24_on,624277.7125322
resp_False,624280.7246484
corr_True,624280.7247149
trial_24_end,624280.7247215
main_block_1_trial_25_on,624280.7247427
resp_False,624283.7376907
corr_True,624283.7377952
trial_25_end,624283.7378026
main_block_1_trial_26_on,624283.7378497
resp_True,624286.3890377
corr_False,624286.3890734
rt_0.639,624286.3890831
trial_26_end,624286.3890885
main_block_1_trial_27_on,624286.3891178
resp_True,624289.0676608
corr_True,624289.0677004
rt_0.672,624289.0677113
trial_27_end,624289.0677179
main_block_1_trial_28_on,624289.0677643
resp_False,624292.090678
corr_True,624292.0907192
trial_28_end,624292.0907264
main_block_1_trial_29_on,624292.0907473
resp_False,624295.1058064
corr_True,624295.1058456
trial_29_end,624295.1058549
main_block_1_trial_30_on,624295.1059397
resp_False,624298.1288395
corr_True,624298.1288797
trial_30_end,624298.1288869
main_block_1_trial_31_on,624298.1289086
resp_False,624301.1421103
corr_True,624301.1421528
trial_31_end,624301.1421599
main_block_1_trial_32_on,624301.1421826
resp_False,624304.1537317
corr_True,624304.1537726
trial_32_end,624304.1537794
main_block_1_trial_33_on,624304.1538003
resp_False,624307.1649576
corr_True,624307.1650003
trial_33_end,624307.1650078
main_block_1_trial_34_on,624307.165031
resp_False,624310.1778494
corr_True,624310.1778964
trial_34_end,624310.1779058
main_block_1_trial_35_on,624310.177933
resp_True,624312.7544475
corr_True,624312.754485
rt_0.569,624312.7544966
trial_35_end,624312.7545031
main_block_1_trial_36_on,624312.7545416
resp_True,624315.238947
corr_True,624315.2389837
rt_0.477,624315.2389939
trial_36_end,624315.2389996
main_block_1_trial_37_on,624315.23903
resp_False,624318.2519607
corr_True,624318.2519978
trial_37_end,624318.2520065
main_block_1_trial_38_on,624318.2520332
resp_True,624320.6651835
corr_True,624320.6652192
rt_0.406,624320.6652374
trial_38_end,624320.6652428
main_block_1_trial_39_on,624320.6652837
resp_True,624323.1195976
corr_True,624323.1196364
rt_0.446,624323.1196475
trial_39_end,624323.1196538
main_block_1_trial_40_on,624323.1196856
resp_False,624326.1332138
corr_True,624326.1332552
trial_40_end,624326.1332627
main_block_1_trial_41_on,624326.1332831
resp_True,624328.6175022
corr_True,624328.6175424
rt_0.476,624328.6175556
trial_41_end,624328.6175633
main_block_1_trial_42_on,624328.617627
resp_False,624331.6315383
corr_True,624331.6315789
trial_42_end,624331.6315859
main_block_1_trial_43_on,624331.6316061
resp_False,624334.6438493
corr_True,624334.6438867
trial_43_end,624334.6438969
main_block_1_trial_44_on,624334.6439184
resp_False,624337.6565599
corr_True,624337.6566022
trial_44_end,624337.6566089
main_block_1_trial_45_on,624337.6566285
resp_False,624340.6692459
corr_True,624340.6692828
trial_45_end,624340.6692895
main_block_1_trial_46_on,624340.6693081
resp_False,624343.6821113
corr_True,624343.6821536
trial_46_end,624343.6821627
main_block_1_trial_47_on,624343.682185
resp_True,624346.1385801
corr_True,624346.1386148
rt_0.448,624346.1386241
trial_47_end,624346.1386289
main_block_1_end,624346.138635
main_block_1_accuracy_0.98,624346.1386417
"question_How_focused_did_you_feel?
(1_=_not_at_all,_5_=_very_focused)_resp_2",624415.1230291
