marker,timestamp
main_block_0_start,691805.69798
"sequence_A,Z,T,Z,U,J,G,E,U,R,Y,Z,I,Z,K,A,G,J,Z,K,U,D,T,O,G,Z,K,Y,Z,A,A,Z,Z,D,Z,X,Q,Z,Z,Z,Z,V,F,Z,T,Z,M,I",691805.698054
"targets_1,3,11,13,18,25,28,31,32,34,37,38,39,40,43,45",691805.6980884
main_block_0_trial_0_on,691805.7179146
resp_False,691808.7426766
corr_True,691808.7427147
trial_0_end,691808.7427216
main_block_0_trial_1_on,691808.7427424
resp_True,691811.4834972
corr_True,691811.4835386
rt_0.721,691811.4835526
trial_1_end,691811.4835605
main_block_0_trial_2_on,691811.4835968
resp_False,691814.5035406
corr_True,691814.5036085
trial_2_end,691814.5036157
main_block_0_trial_3_on,691814.5036359
resp_True,691817.0140085
corr_True,691817.0140406
rt_0.497,691817.01405
trial_3_end,691817.0140556
main_block_0_trial_4_on,691817.014097
resp_False,691820.0338017
corr_True,691820.0338715
trial_4_end,691820.0338799
main_block_0_trial_5_on,691820.0339036
resp_False,691823.0542121
corr_True,691823.0542482
trial_5_end,691823.0542547
main_block_0_trial_6_on,691823.0542755
resp_False,691826.0726233
corr_True,691826.0726627
trial_6_end,691826.0726692
main_block_0_trial_7_on,691826.0726904
resp_False,691829.0885378
corr_True,691829.0885776
trial_7_end,691829.0885855
main_block_0_trial_8_on,691829.088609
resp_False,691832.1013557
corr_True,691832.1013956
trial_8_end,691832.1014028
main_block_0_trial_9_on,691832.1014238
resp_False,691835.1221853
corr_True,691835.1222222
trial_9_end,691835.1222301
main_block_0_trial_10_on,691835.1222658
resp_False,691838.1418243
corr_True,691838.1418943
trial_10_end,691838.1419014
main_block_0_trial_11_on,691838.1419229
resp_True,691840.7151374
corr_True,691840.7151718
rt_0.560,691840.7151804
trial_11_end,691840.7151854
main_block_0_trial_12_on,691840.715221
resp_False,691843.7303831
corr_True,691843.7304238
trial_12_end,691843.7304315
main_block_0_trial_13_on,691843.7304518
resp_True,691846.2970741
corr_True,691846.2971141
rt_0.554,691846.297124
trial_13_end,691846.2971296
main_block_0_trial_14_on,691846.297166
resp_False,691849.317982
corr_True,691849.3180208
trial_14_end,691849.3180277
main_block_0_trial_15_on,691849.3180489
resp_False,691852.3295547
corr_True,691852.3295977
trial_15_end,691852.3296104
main_block_0_trial_16_on,691852.3296424
resp_False,691855.3410142
corr_True,691855.3410837
trial_16_end,691855.341091
main_block_0_trial_17_on,691855.3411122
resp_False,691858.3529562
corr_True,691858.3530246
trial_17_end,691858.353032
main_block_0_trial_18_on,691858.3530522
resp_True,691860.9658404
corr_True,691860.9658769
rt_0.601,691860.9658868
trial_18_end,691860.9658931
main_block_0_trial_19_on,691860.9659313
resp_False,691863.9800486
corr_True,691863.9800907
trial_19_end,691863.9800984
main_block_0_trial_20_on,691863.9801198
resp_False,691866.992087
corr_True,691866.9921522
trial_20_end,691866.9921587
main_block_0_trial_21_on,691866.9921808
resp_False,691870.0144178
corr_True,691870.0144643
trial_21_end,691870.014471
main_block_0_trial_22_on,691870.0144931
resp_False,691873.0276126
corr_True,691873.0276506
trial_22_end,691873.0276578
main_block_0_trial_23_on,691873.0276795
resp_False,691876.0480039
corr_True,691876.0480438
trial_23_end,691876.0480514
main_block_0_trial_24_on,691876.0480719
resp_False,691879.0599781
corr_True,691879.0600174
trial_24_end,691879.0600269
main_block_0_trial_25_on,691879.0600473
resp_True,691881.5441902
corr_True,691881.5442264
rt_0.473,691881.5442389
trial_25_end,691881.5442463
main_block_0_trial_26_on,691881.544281
resp_False,691884.5568627
corr_True,691884.5569049
trial_26_end,691884.5569132
main_block_0_trial_27_on,691884.5569335
resp_False,691887.5708199
corr_True,691887.5708595
trial_27_end,691887.5708662
main_block_0_trial_28_on,691887.5708877
resp_True,691890.0508577
corr_True,691890.0509055
rt_0.467,691890.0509198
trial_28_end,691890.0509291
main_block_0_trial_29_on,691890.0509922
resp_False,691893.0631288
corr_True,691893.0631668
trial_29_end,691893.0631736
main_block_0_trial_30_on,691893.0631944
resp_False,691896.0705658
corr_True,691896.0706079
trial_30_end,691896.0706152
main_block_0_trial_31_on,691896.0706381
resp_True,691898.6094428
corr_True,691898.6094832
rt_0.526,691898.6094941
trial_31_end,691898.6095035
main_block_0_trial_32_on,691898.6095859
resp_True,691901.1268122
corr_True,691901.1268611
rt_0.510,691901.1268752
trial_32_end,691901.1268837
main_block_0_trial_33_on,691901.1269354
resp_False,691904.1413139
corr_True,691904.1414074
trial_33_end,691904.1414143
main_block_0_trial_34_on,691904.1414353
resp_True,691906.6318405
corr_True,691906.6318746
rt_0.477,691906.6318839
trial_34_end,691906.6318891
main_block_0_trial_35_on,691906.6319224
resp_False,691909.6527935
corr_True,691909.6528386
trial_35_end,691909.6528461
main_block_0_trial_36_on,691909.6528663
resp_False,691912.6740922
corr_True,691912.674131
trial_36_end,691912.6741386
main_block_0_trial_37_on,691912.6741606
resp_True,691915.2460071
corr_True,691915.2460551
rt_0.558,691915.2460685
trial_37_end,691915.2460765
main_block_0_trial_38_on,691915.2461303
resp_True,691917.6961061
corr_True,691917.6961442
rt_0.442,691917.6961576
trial_38_end,691917.6961682
main_block_0_trial_39_on,691917.6962176
resp_True,691920.1296637
corr_True,691920.1297037
rt_0.425,691920.1297191
trial_39_end,691920.1297264
main_block_0_trial_40_on,691920.1297718
resp_True,691922.550604
corr_True,691922.5506421
rt_0.413,691922.5506514
trial_40_end,691922.5506568
main_block_0_trial_41_on,691922.5506836
resp_False,691925.5699379
corr_True,691925.5699794
trial_41_end,691925.5699867
main_block_0_trial_42_on,691925.5700094
resp_False,691928.5905364
corr_True,691928.5905767
trial_42_end,691928.5905836
main_block_0_trial_43_on,691928.5906048
resp_True,691931.0453838
corr_True,691931.045416
rt_0.442,691931.0454245
trial_43_end,691931.0454296
main_block_0_trial_44_on,691931.0454634
resp_False,691934.057697
corr_True,691934.0577387
trial_44_end,691934.0577465
main_block_0_trial_45_on,691934.0577671
resp_True,691936.5801996
corr_True,691936.5802348
rt_0.510,691936.580244
trial_45_end,691936.5802525
main_block_0_trial_46_on,691936.5802932
resp_False,691939.6029513
corr_True,691939.6029938
trial_46_end,691939.6030012
main_block_0_trial_47_on,691939.6030451
resp_False,691942.6163263
corr_True,691942.6163633
trial_47_end,691942.6163698
main_block_0_end,691942.6163767
main_block_0_accuracy_1.00,691942.6163862
main_block_1_start,691955.1488544
"sequence_Y,V,W,G,H,G,E,M,E,J,M,J,B,O,Y,M,H,M,L,R,R,R,C,R,C,R,R,D,R,D,R,D,U,H,C,R,A,Q,X,Q,X,Q,K,T,Z,B,Y,U",691955.148889
"targets_5,8,11,17,21,23,24,25,28,29,30,31,39,40,41",691955.1489023
main_block_1_trial_0_on,691955.1580376
resp_False,691958.1705129
corr_True,691958.1705544
trial_0_end,691958.1705629
main_block_1_trial_1_on,691958.1705861
resp_False,691961.1836028
corr_True,691961.1836407
trial_1_end,691961.1836471
main_block_1_trial_2_on,691961.1836666
resp_False,691964.2030122
corr_True,691964.2030515
trial_2_end,691964.203058
main_block_1_trial_3_on,691964.2030771
resp_False,691967.2153689
corr_True,691967.2154051
trial_3_end,691967.2154116
main_block_1_trial_4_on,691967.2154311
resp_False,691970.2345484
corr_True,691970.2345911
trial_4_end,691970.2345988
main_block_1_trial_5_on,691970.2346196
resp_True,691972.7373362
corr_True,691972.7373835
rt_0.490,691972.7374017
trial_5_end,691972.7374107
main_block_1_trial_6_on,691972.7374668
resp_False,691975.7495193
corr_True,691975.7495602
trial_6_end,691975.7495672
main_block_1_trial_7_on,691975.7495889
resp_False,691978.7612261
corr_True,691978.7612643
trial_7_end,691978.7612716
main_block_1_trial_8_on,691978.7613183
resp_True,691981.4513451
corr_True,691981.4513941
rt_0.677,691981.4514088
trial_8_end,691981.4514192
main_block_1_trial_9_on,691981.4514742
resp_False,691984.4650654
corr_True,691984.4651134
trial_9_end,691984.465122
main_block_1_trial_10_on,691984.4651445
resp_False,691987.4784014
corr_True,691987.4784413
trial_10_end,691987.4784481
main_block_1_trial_11_on,691987.4784678
resp_True,691989.9974519
corr_True,691989.997503
rt_0.507,691989.9975175
trial_11_end,691989.9975264
main_block_1_trial_12_on,691989.9975894
resp_False,691993.0171755
corr_True,691993.0172193
trial_12_end,691993.0172297
main_block_1_trial_13_on,691993.0172527
resp_False,691996.0297718
corr_True,691996.0298129
trial_13_end,691996.0298208
main_block_1_trial_14_on,691996.0298415
resp_False,691999.0418397
corr_True,691999.0418774
trial_14_end,691999.0418842
main_block_1_trial_15_on,691999.0419055
