marker,timestamp
main_block_0_start,688723.1382551
"sequence_J,L,M,X,T,G,R,K,B,F,F,F,F,X,S,O,Z,D,F,F,S,F,F,F,B,O,E,T,F,U,S,F,N,P,F,K,F,T,E,U,M,F,D,F,F,R,Y,E",688723.1382884
"targets_9,10,11,12,18,19,21,22,23,28,31,34,36,41,43,44",688723.1383185
main_block_0_trial_0_on,688723.1457376
resp_False,688726.159347
corr_True,688726.1593842
trial_0_end,688726.1593895
main_block_0_trial_1_on,688726.1594056
resp_False,688729.1705226
corr_True,688729.1705575
trial_1_end,688729.1705627
main_block_0_trial_2_on,688729.1705774
resp_False,688732.1822312
corr_True,688732.1822674
trial_2_end,688732.1822728
main_block_0_trial_3_on,688732.1822908
resp_False,688735.1943475
corr_True,688735.1943805
trial_3_end,688735.1943863
main_block_0_trial_4_on,688735.1944027
resp_False,688738.2041802
corr_True,688738.2042168
trial_4_end,688738.2042219
main_block_0_trial_5_on,688738.2042379
resp_False,688741.2166999
corr_True,688741.2167339
trial_5_end,688741.2167393
main_block_0_trial_6_on,688741.2167542
resp_False,688744.2270363
corr_True,688744.2270734
trial_6_end,688744.2270811
main_block_0_trial_7_on,688744.2270996
resp_False,688747.2385151
corr_True,688747.2385501
trial_7_end,688747.2385553
main_block_0_trial_8_on,688747.2385708
resp_False,688750.2483211
corr_True,688750.2483567
trial_8_end,688750.2483626
main_block_0_trial_9_on,688750.248378
resp_True,688752.8891777
corr_True,688752.8892085
rt_0.631,688752.8892164
trial_9_end,688752.8892214
main_block_0_trial_10_on,688752.8892419
resp_True,688755.4519113
corr_True,688755.4519412
rt_0.557,688755.4519501
trial_10_end,688755.4519537
main_block_0_trial_11_on,688755.4519828
resp_True,688757.9225419
corr_True,688757.9225718
rt_0.465,688757.9225781
trial_11_end,688757.9225837
main_block_0_trial_12_on,688757.9226131
resp_True,688760.4890608
corr_True,688760.4890978
rt_0.561,688760.4891045
trial_12_end,688760.4891084
main_block_0_trial_13_on,688760.4891373
resp_False,688763.497368
corr_True,688763.497404
trial_13_end,688763.4974096
main_block_0_trial_14_on,688763.4974247
resp_False,688766.5094153
corr_True,688766.509451
trial_14_end,688766.5094561
main_block_0_trial_15_on,688766.5094732
resp_False,688769.521276
corr_True,688769.5213102
trial_15_end,688769.5213153
main_block_0_trial_16_on,688769.5213311
resp_False,688772.5339896
corr_True,688772.534024
trial_16_end,688772.5340291
main_block_0_trial_17_on,688772.5340446
resp_False,688775.5453541
corr_True,688775.5453912
trial_17_end,688775.5453971
main_block_0_trial_18_on,688775.5454138
resp_True,688778.1170206
corr_True,688778.1170607
rt_0.563,688778.1170677
trial_18_end,688778.117072
main_block_0_trial_19_on,688778.1170945
resp_True,688780.6667878
corr_True,688780.6668175
rt_0.544,688780.6668245
trial_19_end,688780.6668285
main_block_0_trial_20_on,688780.6668577
resp_False,688783.676416
corr_True,688783.6764515
trial_20_end,688783.6764566
main_block_0_trial_21_on,688783.6764716
resp_True,688786.1719228
corr_True,688786.1719659
rt_0.487,688786.1719876
trial_21_end,688786.1719918
main_block_0_trial_22_on,688786.1720232
resp_True,688788.7649353
corr_True,688788.7649624
rt_0.587,688788.7649691
trial_22_end,688788.7649742
main_block_0_trial_23_on,688788.7650025
resp_True,688791.3962457
corr_True,688791.3962717
rt_0.626,688791.3962778
trial_23_end,688791.3962837
main_block_0_trial_24_on,688791.3963087
resp_False,688794.4053156
corr_True,688794.4053522
trial_24_end,688794.4053573
main_block_0_trial_25_on,688794.4053729
resp_False,688797.4126885
corr_True,688797.4127362
trial_25_end,688797.4127445
main_block_0_trial_26_on,688797.4127627
resp_False,688800.4248196
corr_True,688800.4248519
trial_26_end,688800.4248576
main_block_0_trial_27_on,688800.4248734
resp_False,688803.4340717
corr_True,688803.4341062
trial_27_end,688803.4341118
main_block_0_trial_28_on,688803.4341278
resp_True,688806.2928835
corr_True,688806.2929205
rt_0.850,688806.2929291
trial_28_end,688806.292933
main_block_0_trial_29_on,688806.2929596
resp_False,688809.3049591
corr_True,688809.3049906
trial_29_end,688809.3049958
main_block_0_trial_30_on,688809.3050114
resp_False,688812.3138498
corr_True,688812.3138856
trial_30_end,688812.3138908
main_block_0_trial_31_on,688812.3139067
resp_True,688814.8649087
corr_True,688814.8649388
rt_0.543,688814.8649456
trial_31_end,688814.8649502
main_block_0_trial_32_on,688814.8649763
resp_False,688817.8774515
corr_True,688817.877487
trial_32_end,688817.8774928
main_block_0_trial_33_on,688817.8775099
resp_False,688820.8900483
corr_True,688820.890085
trial_33_end,688820.8900922
main_block_0_trial_34_on,688820.890109
resp_True,688823.4413727
corr_True,688823.4414007
rt_0.543,688823.4414071
trial_34_end,688823.4414104
main_block_0_trial_35_on,688823.4414352
resp_False,688826.4504206
corr_True,688826.4504545
trial_35_end,688826.4504601
main_block_0_trial_36_on,688826.450477
resp_True,688829.0337904
corr_True,688829.0338179
rt_0.575,688829.0338249
trial_36_end,688829.0338285
main_block_0_trial_37_on,688829.0338524
resp_False,688832.0397824
corr_True,688832.0398218
trial_37_end,688832.0398271
main_block_0_trial_38_on,688832.0398442
resp_False,688835.0483406
corr_True,688835.0483761
trial_38_end,688835.0483814
main_block_0_trial_39_on,688835.0483977
resp_False,688838.0559229
corr_True,688838.0559606
trial_39_end,688838.0559659
main_block_0_trial_40_on,688838.0559811
resp_False,688841.0647839
corr_True,688841.0648149
trial_40_end,688841.0648197
main_block_0_trial_41_on,688841.0648352
resp_True,688843.6308342
corr_True,688843.6308646
rt_0.559,688843.6308715
trial_41_end,688843.6308756
main_block_0_trial_42_on,688843.6309005
resp_False,688846.6390205
corr_True,688846.639057
trial_42_end,688846.6390624
main_block_0_trial_43_on,688846.6390786
resp_True,688849.2137303
corr_True,688849.213763
rt_0.566,688849.2137704
trial_43_end,688849.2137741
main_block_0_trial_44_on,688849.21382
resp_True,688851.8344768
corr_True,688851.8345219
rt_0.615,688851.83453
trial_44_end,688851.8345341
main_block_0_trial_45_on,688851.8345839
resp_False,688854.8424858
corr_True,688854.8425176
trial_45_end,688854.8425253
main_block_0_trial_46_on,688854.8425403
resp_False,688857.8551914
corr_True,688857.8552248
trial_46_end,688857.8552309
main_block_0_trial_47_on,688857.8552465
resp_False,688860.8631959
corr_True,688860.8632271
trial_47_end,688860.8632388
main_block_0_end,688860.8632457
main_block_0_accuracy_1.00,688860.8632537
practice_count_1,688875.3908815
practice_block_1_start,688881.3998517
