time_stamp,value,onset_s,block,trial
333284.93859336665,main_block_0_start,197.3068681920995,,
333284.93865716667,"sequence_D,H,R,P,H,Z,Q,K,E,H,H,K,M,U,H,H,Q,N,T,H,H,F,H,H,C,H,B,W,Z,H,L,H,O,E,J,L,H,R,F,B,H,Y,J,L,P,H,P,X",197.30693199211964,,
333284.9386813667,"targets_1,4,9,10,14,15,19,20,22,23,25,29,31,36,40,45",197.3069561921293,,
333284.9467772667,main_block_0_trial_0_on,197.31505209213356,0.0,0.0
333287.9579659656,resp_False,200.32624079106608,,
333287.9580078656,corr_True,200.32628269103589,,
333287.9580135656,trial_0_end,200.3262883910793,,
333287.9580306656,main_block_0_trial_1_on,200.32630549103487,0.0,1.0
333290.41319926473,resp_True,202.7814740901813,,
333290.41323856474,corr_True,202.7815133901895,,
333290.41324556473,rt_0.446,202.7815203901846,,
333290.41324926476,trial_1_end,202.78152409021277,,
333290.4132726647,main_block_0_trial_2_on,202.78154749015812,0.0,2.0
333293.4205763637,resp_False,205.78885118913604,,
333293.4206143637,corr_True,205.78888918913435,,
333293.42061916366,trial_2_end,205.7888939891127,,
333293.4206364637,main_block_0_trial_3_on,205.788911289128,0.0,3.0
333296.4302980626,resp_False,208.79857288807398,,
333296.43033096264,corr_True,208.79860578809166,,
333296.4303360626,trial_3_end,208.7986108880723,,
333296.4303507626,main_block_0_trial_4_on,208.7986255880678,0.0,4.0
333298.83911576174,resp_True,211.20739058719482,,
333298.83914646175,corr_True,211.20742128719576,,
333298.83915426175,rt_0.401,211.20742908719694,,
333298.8391580618,trial_4_end,211.20743288722588,,
333298.83918466175,main_block_0_trial_5_on,211.2074594871956,0.0,5.0
333301.84745426074,resp_False,214.2157290861942,,
333301.84749146074,corr_True,214.2157662861864,,
333301.8474975607,trial_5_end,214.21577238617465,,
333301.84751496074,main_block_0_trial_6_on,214.21578978619073,0.0,6.0
333304.85774715967,resp_False,217.22602198511595,,
333304.85777725966,corr_True,217.22605208511231,,
333304.8577823597,trial_6_end,217.22605718515115,,
333304.85779915965,main_block_0_trial_7_on,217.22607398510445,0.0,7.0
333307.8666840586,resp_False,220.23495888407342,,
333307.8667225586,corr_True,220.23499738407554,,
333307.8667282586,trial_7_end,220.23500308406074,,
333307.8667442586,main_block_0_trial_8_on,220.23501908406615,0.0,8.0
333310.8751086576,resp_False,223.2433834830299,,
333310.8751396576,corr_True,223.24341448303312,,
333310.87514465756,trial_8_end,223.24341948301299,,
333310.87516045757,main_block_0_trial_9_on,223.24343528301688,0.0,9.0
333313.3182842567,resp_True,225.6865590821253,,
333313.3183141567,corr_True,225.68658898217836,,
333313.3183209567,rt_0.437,225.68659578217193,,
333313.3183244567,trial_9_end,225.68659928214038,,
333313.3183501567,main_block_0_trial_10_on,225.68662498216145,0.0,10.0
333316.0581761558,resp_True,228.42645098123467,,
333316.05820255575,corr_True,228.42647738120286,,
333316.0582086558,rt_0.735,228.4264834812493,,
333316.05821215577,trial_10_end,228.42648698121775,,
333316.0582362558,main_block_0_trial_11_on,228.42651108122664,0.0,11.0
333319.06465925474,resp_False,231.43293408019235,,
333319.0646928547,corr_True,231.43296768015716,,
333319.06469825475,trial_11_end,231.43297308019828,,
333319.0647148547,main_block_0_trial_12_on,231.43298968015006,0.0,12.0
333322.0747014537,resp_False,234.44297627912601,,
333322.07473735366,corr_True,234.44301217910834,,
333322.0747423537,trial_12_end,234.4430171791464,,
333322.07475945365,main_block_0_trial_13_on,234.443034279102,0.0,13.0
333325.08525385265,resp_False,237.45352867810288,,
333325.0852863526,corr_True,237.45356117805932,,
333325.08529135265,trial_13_end,237.4535661780974,,
